"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"30.12.2019","3.186,94","3.212,98","3.212,98","3.186,94","1,83M","-0,80%"
"27.12.2019","3.212,54","3.225,80","3.244,63","3.212,16","2,11M","-0,26%"
"23.12.2019","3.220,94","3.210,23","3.225,64","3.201,06","2,12M","0,33%"
"20.12.2019","3.210,27","3.205,74","3.242,23","3.204,17","8,75M","0,18%"
"19.12.2019","3.204,61","3.194,71","3.219,51","3.192,78","4,00M","0,32%"
"18.12.2019","3.194,52","3.207,22","3.215,85","3.192,98","3,68M","-0,39%"
"17.12.2019","3.207,06","3.200,58","3.218,96","3.188,22","3,84M","0,22%"
"16.12.2019","3.199,99","3.168,50","3.205,22","3.168,50","4,11M","1,01%"
"13.12.2019","3.168,06","3.166,62","3.207,76","3.157,52","5,22M","0,05%"
"12.12.2019","3.166,33","3.123,08","3.178,88","3.118,05","4,48M","1,38%"
"11.12.2019","3.123,12","3.119,53","3.136,27","3.114,59","3,62M","0,13%"
"10.12.2019","3.118,99","3.124,22","3.125,22","3.095,41","3,25M","-0,16%"
"09.12.2019","3.124,09","3.144,50","3.154,72","3.121,21","2,62M","-0,65%"
"06.12.2019","3.144,50","3.113,83","3.150,90","3.109,49","2,75M","0,99%"
"05.12.2019","3.113,72","3.112,61","3.131,12","3.112,61","3,70M","0,04%"
"04.12.2019","3.112,50","3.092,22","3.126,35","3.087,99","4,24M","0,64%"
"03.12.2019","3.092,65","3.116,38","3.132,68","3.079,49","4,64M","-0,83%"
"02.12.2019","3.118,52","3.140,37","3.169,12","3.113,32","3,69M","-0,68%"
"29.11.2019","3.139,82","3.177,07","3.177,37","3.135,27","3,16M","-1,22%"
"28.11.2019","3.178,74","3.183,97","3.184,74","3.159,09","3,49M","-0,15%"
"27.11.2019","3.183,49","3.191,73","3.205,42","3.180,31","4,04M","-0,26%"
"26.11.2019","3.191,67","3.183,11","3.197,28","3.167,57","4,99M","0,27%"
"25.11.2019","3.183,11","3.171,37","3.197,93","3.171,37","2,24M","0,27%"
"22.11.2019","3.174,57","3.150,10","3.177,37","3.147,03","3,05M","0,83%"
"21.11.2019","3.148,49","3.155,13","3.156,19","3.120,57","3,12M","-0,21%"
"20.11.2019","3.155,13","3.149,55","3.159,25","3.129,99","3,63M","0,06%"
"19.11.2019","3.153,18","3.156,90","3.190,21","3.139,13","3,18M","-0,12%"
"18.11.2019","3.157,06","3.189,37","3.203,84","3.143,97","3,28M","-1,01%"
"15.11.2019","3.189,25","3.186,38","3.211,69","3.170,46","3,13M","0,09%"
"14.11.2019","3.186,29","3.222,60","3.224,63","3.186,29","3,13M","-1,10%"
"13.11.2019","3.221,70","3.228,30","3.228,30","3.192,05","3,40M","-0,38%"
"12.11.2019","3.234,06","3.227,77","3.239,52","3.217,45","3,64M","0,19%"
"11.11.2019","3.227,77","3.219,94","3.234,07","3.204,95","2,81M","0,11%"
"08.11.2019","3.224,17","3.251,97","3.252,62","3.218,76","4,57M","-0,81%"
"07.11.2019","3.250,61","3.223,70","3.261,93","3.219,25","4,87M","0,82%"
"06.11.2019","3.224,20","3.247,43","3.249,74","3.213,67","4,49M","-0,68%"
"05.11.2019","3.246,37","3.224,53","3.254,47","3.215,68","5,84M","0,65%"
"04.11.2019","3.225,41","3.165,16","3.227,26","3.164,17","3,88M","1,92%"
"01.11.2019","3.164,64","3.139,49","3.168,80","3.138,18","2,80M","0,80%"
"31.10.2019","3.139,59","3.171,11","3.183,21","3.129,37","3,87M","-1,00%"
"30.10.2019","3.171,21","3.190,82","3.194,82","3.169,33","3,02M","-0,61%"
"29.10.2019","3.190,52","3.192,64","3.195,79","3.164,48","3,39M","0,04%"
"28.10.2019","3.189,37","3.154,80","3.196,80","3.151,77","3,08M","1,11%"
"25.10.2019","3.154,47","3.154,59","3.166,20","3.137,15","2,41M","-0,01%"
"24.10.2019","3.154,68","3.146,76","3.173,35","3.142,03","3,56M","0,29%"
"23.10.2019","3.145,70","3.118,18","3.147,96","3.101,24","3,52M","0,88%"
"22.10.2019","3.118,18","3.084,48","3.121,92","3.084,48","3,53M","1,09%"
"21.10.2019","3.084,48","3.049,03","3.094,36","3.048,20","3,59M","1,19%"
"18.10.2019","3.048,27","3.040,59","3.069,99","3.033,00","3,13M","0,27%"
"17.10.2019","3.040,19","3.043,36","3.072,46","3.018,17","3,91M","-0,11%"
"16.10.2019","3.043,45","3.033,37","3.046,95","2.997,18","4,19M","0,36%"
"15.10.2019","3.032,59","3.001,64","3.034,73","2.989,30","3,29M","1,01%"
"14.10.2019","3.002,23","3.005,64","3.005,64","2.971,92","2,66M","-0,11%"
"11.10.2019","3.005,64","2.938,16","3.012,96","2.938,16","4,37M","2,24%"
"10.10.2019","2.939,68","2.916,60","2.943,45","2.902,57","4,53M","0,79%"
"09.10.2019","2.916,60","2.921,79","2.930,04","2.899,99","3,47M","-0,18%"
"08.10.2019","2.921,91","2.935,60","2.940,52","2.906,48","3,06M","-0,49%"
"07.10.2019","2.936,19","2.923,75","2.937,42","2.905,69","3,18M","0,44%"
"04.10.2019","2.923,29","2.905,79","2.923,68","2.897,26","3,22M","0,60%"
"03.10.2019","2.905,75","2.924,58","2.928,59","2.896,41","4,19M","-0,64%"
"02.10.2019","2.924,44","2.991,54","2.991,54","2.924,10","4,37M","-2,29%"
"01.10.2019","2.992,87","3.009,96","3.030,06","2.988,90","3,45M","-0,59%"
"30.09.2019","3.010,61","3.020,93","3.034,95","3.006,11","4,12M","-0,35%"
"27.09.2019","3.021,23","2.998,34","3.022,58","2.997,71","3,12M","0,78%"
"26.09.2019","2.997,89","2.998,24","3.018,01","2.990,68","3,44M","-0,00%"
"25.09.2019","2.998,02","3.034,50","3.034,50","2.959,46","2,97M","-1,19%"
"24.09.2019","3.034,15","3.034,41","3.042,43","3.023,57","3,05M","-0,02%"
"23.09.2019","3.034,71","3.068,00","3.068,00","3.010,27","3,35M","-1,09%"
"20.09.2019","3.068,04","3.068,91","3.070,67","3.044,43","11,26M","-0,03%"
"19.09.2019","3.069,00","3.042,79","3.069,00","3.031,53","3,72M","0,96%"
"18.09.2019","3.039,89","3.044,79","3.051,88","3.032,29","3,47M","-0,18%"
"17.09.2019","3.045,47","3.052,12","3.055,34","3.027,95","4,19M","-0,22%"
"16.09.2019","3.052,20","3.032,74","3.063,26","3.012,22","3,65M","0,64%"
"13.09.2019","3.032,81","3.017,79","3.037,72","3.009,42","3,82M","0,48%"
"12.09.2019","3.018,27","3.000,54","3.039,70","2.997,29","4,66M","0,60%"
"11.09.2019","3.000,21","2.992,81","3.030,14","2.992,48","4,70M","0,25%"
"10.09.2019","2.992,81","2.957,22","2.998,28","2.944,07","4,55M","1,22%"
"09.09.2019","2.956,86","2.937,12","2.959,26","2.936,80","3,23M","0,72%"
"06.09.2019","2.935,72","2.931,98","2.945,22","2.922,28","3,78M","0,16%"
"05.09.2019","2.930,92","2.908,75","2.941,14","2.906,06","4,26M","0,78%"
"04.09.2019","2.908,35","2.880,92","2.920,45","2.880,92","2,87M","0,96%"
"03.09.2019","2.880,78","2.908,53","2.909,07","2.866,96","3,08M","-0,93%"
"02.09.2019","2.907,92","2.908,69","2.919,62","2.901,98","3,34M","-0,11%"
"30.08.2019","2.911,15","2.887,20","2.919,76","2.884,13","4,41M","0,84%"
"29.08.2019","2.887,02","2.868,98","2.902,88","2.862,44","3,62M","0,65%"
"28.08.2019","2.868,31","2.896,04","2.901,92","2.850,04","3,97M","-0,96%"
