"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"31.12.2019","3.955,83","3.964,00","3.966,19","3.955,83","4,10M","-0,29%"
"30.12.2019","3.967,18","3.993,70","3.995,24","3.967,18","9,11M","-0,73%"
"27.12.2019","3.996,35","3.994,65","4.012,52","3.990,97","10,71M","0,11%"
"24.12.2019","3.992,13","3.982,14","3.995,80","3.979,05","2,87M","0,06%"
"23.12.2019","3.989,61","3.983,56","3.992,91","3.974,83","11,66M","-0,08%"
"20.12.2019","3.992,93","3.986,90","4.002,26","3.980,09","41,11M","0,19%"
"19.12.2019","3.985,29","3.965,53","3.985,29","3.961,67","16,79M","0,44%"
"18.12.2019","3.967,68","3.956,97","3.974,11","3.953,43","17,62M","0,10%"
"17.12.2019","3.963,81","3.970,47","3.976,03","3.949,42","20,48M","-0,35%"
"16.12.2019","3.977,89","3.953,88","3.982,65","3.952,61","17,59M","1,06%"
"13.12.2019","3.936,10","3.968,41","3.981,69","3.932,52","28,96M","0,11%"
"12.12.2019","3.931,65","3.925,02","3.946,63","3.894,71","24,51M","0,28%"
"11.12.2019","3.920,85","3.923,39","3.934,55","3.907,72","13,71M","-0,17%"
"10.12.2019","3.927,63","3.940,63","3.941,10","3.896,57","15,71M","-0,38%"
"09.12.2019","3.942,51","3.928,01","3.947,62","3.925,43","12,90M","0,34%"
"06.12.2019","3.929,05","3.906,68","3.937,69","3.899,81","16,99M","1,08%"
"05.12.2019","3.887,14","3.898,00","3.922,65","3.884,75","14,36M","-0,06%"
"04.12.2019","3.889,41","3.835,71","3.890,83","3.835,58","18,12M","1,25%"
"03.12.2019","3.841,33","3.874,08","3.892,49","3.830,06","22,69M","-0,59%"
"02.12.2019","3.864,11","3.911,96","3.938,35","3.861,67","24,84M","-1,09%"
"29.11.2019","3.906,68","3.897,66","3.925,78","3.893,27","16,33M","-0,21%"
"28.11.2019","3.914,86","3.901,47","3.915,71","3.895,29","11,20M","0,06%"
"27.11.2019","3.912,38","3.914,08","3.914,72","3.897,83","15,55M","0,21%"
"26.11.2019","3.904,31","3.901,81","3.909,91","3.878,77","24,77M","0,04%"
"25.11.2019","3.902,93","3.891,22","3.906,72","3.890,60","13,10M","0,62%"
"22.11.2019","3.878,93","3.873,24","3.897,69","3.871,97","20,54M","0,13%"
"21.11.2019","3.873,93","3.871,04","3.878,19","3.842,28","18,12M","-0,57%"
"20.11.2019","3.896,19","3.887,30","3.899,97","3.861,73","19,39M","-0,03%"
"19.11.2019","3.897,44","3.909,17","3.920,19","3.890,84","15,33M","-0,21%"
"18.11.2019","3.905,52","3.903,17","3.920,03","3.887,71","17,33M","0,29%"
"15.11.2019","3.894,25","3.884,16","3.894,68","3.860,14","17,61M","0,62%"
"14.11.2019","3.870,27","3.880,41","3.892,91","3.866,86","18,96M","-0,21%"
"13.11.2019","3.878,37","3.879,74","3.880,99","3.853,24","24,54M","-0,52%"
"12.11.2019","3.898,48","3.880,47","3.903,34","3.873,11","17,99M","0,78%"
"11.11.2019","3.868,27","3.872,19","3.883,50","3.855,01","15,58M","-0,22%"
"08.11.2019","3.876,94","3.862,30","3.908,02","3.851,40","30,42M","-0,03%"
"07.11.2019","3.878,14","3.870,02","3.880,42","3.861,73","29,09M","0,48%"
"06.11.2019","3.859,71","3.857,72","3.873,76","3.849,99","26,98M","0,20%"
"05.11.2019","3.851,87","3.841,06","3.859,52","3.832,52","22,68M","0,59%"
"04.11.2019","3.829,20","3.810,34","3.838,35","3.810,34","26,78M","0,91%"
"01.11.2019","3.794,80","3.771,06","3.797,29","3.766,83","19,46M","0,84%"
"31.10.2019","3.763,25","3.769,61","3.777,93","3.732,16","27,04M","-0,11%"
"30.10.2019","3.767,32","3.763,74","3.776,30","3.740,18","21,17M","0,09%"
"29.10.2019","3.763,93","3.766,58","3.767,44","3.747,05","17,36M","-0,18%"
"28.10.2019","3.770,84","3.750,13","3.773,09","3.746,96","17,91M","0,49%"
"25.10.2019","3.752,35","3.791,64","3.791,64","3.720,62","21,12M","-1,04%"
"24.10.2019","3.791,66","3.769,81","3.797,55","3.766,06","19,23M","0,83%"
"23.10.2019","3.760,28","3.757,10","3.769,02","3.744,98","19,70M","-0,22%"
"22.10.2019","3.768,48","3.789,10","3.793,74","3.760,80","17,84M","-0,41%"
"21.10.2019","3.784,04","3.760,13","3.798,88","3.755,23","23,14M","0,70%"
"18.10.2019","3.757,78","3.773,66","3.778,40","3.752,60","18,20M","-0,49%"
"17.10.2019","3.776,41","3.746,25","3.799,50","3.746,25","24,48M","0,41%"
"16.10.2019","3.761,02","3.759,48","3.767,90","3.736,16","29,06M","0,10%"
"15.10.2019","3.757,24","3.730,26","3.764,52","3.713,51","26,68M","1,18%"
"14.10.2019","3.713,56","3.714,10","3.714,10","3.676,70","19,59M","-0,39%"
"11.10.2019","3.727,92","3.668,61","3.728,00","3.665,26","34,06M","1,92%"
"10.10.2019","3.657,77","3.608,33","3.660,22","3.594,79","28,20M","1,39%"
"09.10.2019","3.607,55","3.592,68","3.625,54","3.584,39","18,15M","0,43%"
"08.10.2019","3.592,12","3.623,53","3.629,70","3.582,86","19,76M","-1,01%"
"07.10.2019","3.628,92","3.611,89","3.633,42","3.602,97","17,06M","0,51%"
"04.10.2019","3.610,64","3.585,69","3.610,64","3.577,12","19,73M","1,00%"
"03.10.2019","3.574,76","3.563,41","3.585,76","3.544,46","22,45M","0,24%"
"02.10.2019","3.566,37","3.657,79","3.659,00","3.566,08","29,88M","-2,72%"
"01.10.2019","3.666,14","3.727,66","3.740,27","3.661,77","20,80M","-1,30%"
"30.09.2019","3.714,42","3.704,27","3.717,25","3.702,72","20,44M","0,06%"
"27.09.2019","3.712,08","3.703,97","3.714,18","3.700,32","16,06M","0,39%"
"26.09.2019","3.697,73","3.663,55","3.703,03","3.663,55","19,27M","0,51%"
"25.09.2019","3.678,88","3.656,82","3.678,88","3.627,08","23,19M","0,02%"
"24.09.2019","3.678,16","3.697,67","3.725,91","3.673,94","18,78M","-0,41%"
"23.09.2019","3.693,47","3.722,28","3.732,72","3.682,69","18,53M","-1,21%"
"20.09.2019","3.738,72","3.700,05","3.738,72","3.691,97","45,84M","0,89%"
"19.09.2019","3.705,62","3.685,73","3.705,62","3.681,19","22,95M","0,69%"
"18.09.2019","3.680,09","3.694,47","3.707,72","3.679,29","19,41M","-0,29%"
"17.09.2019","3.690,84","3.691,96","3.699,29","3.668,71","23,85M","-0,25%"
"16.09.2019","3.700,19","3.707,18","3.713,83","3.693,06","21,07M","-0,81%"
"13.09.2019","3.730,24","3.706,00","3.732,11","3.699,88","30,60M","0,88%"
"12.09.2019","3.697,66","3.693,17","3.722,19","3.672,68","35,82M","0,55%"
"11.09.2019","3.677,36","3.677,39","3.680,93","3.661,99","28,72M","0,37%"
"10.09.2019","3.663,66","3.653,64","3.675,40","3.635,69","34,43M","0,44%"
"09.09.2019","3.647,75","3.622,70","3.648,21","3.611,32","23,71M","0,85%"
"06.09.2019","3.617,11","3.618,89","3.627,16","3.606,25","24,64M","-0,07%"
"05.09.2019","3.619,54","3.604,88","3.620,24","3.593,05","26,56M","0,86%"
"04.09.2019","3.588,53","3.585,03","3.597,31","3.578,60","20,17M","0,73%"
"03.09.2019","3.562,43","3.571,03","3.573,31","3.550,64","17,79M","-0,30%"
"02.09.2019","3.573,30","3.569,98","3.586,64","3.565,97","13,25M","0,07%"
"30.08.2019","3.570,81","3.532,48","3.578,13","3.528,13","25,90M","1,27%"
"29.08.2019","3.526,12","3.485,02","3.540,25","3.482,23","22,98M","1,01%"
"28.08.2019","3.490,82","3.495,29","3.496,05","3.461,57","15,69M","-0,32%"
"27.08.2019","3.502,19","3.477,56","3.511,03","3.468,16","20,11M","0,43%"
"26.08.2019","3.487,04","3.461,39","3.500,03","3.447,54","15,73M","0,23%"
"23.08.2019","3.479,20","3.524,33","3.535,58","3.479,20","20,79M","-0,88%"
"22.08.2019","3.510,11","3.518,45","3.538,47","3.496,34","22,26M","-0,43%"
"21.08.2019","3.525,25","3.498,26","3.533,18","3.498,26","18,36M","1,06%"
"20.08.2019","3.488,17","3.518,48","3.532,01","3.486,55","22,04M","-0,97%"
"19.08.2019","3.522,42","3.521,69","3.537,39","3.509,60","24,57M","0,69%"
"16.08.2019","3.498,39","3.460,85","3.501,05","3.455,95","43,40M","1,60%"
"15.08.2019","3.443,34","3.461,83","3.472,67","3.396,77","29,87M","-0,31%"
"14.08.2019","3.454,20","3.521,72","3.521,72","3.441,96","31,38M","-1,85%"
"13.08.2019","3.519,20","3.493,81","3.544,74","3.465,38","35,67M","0,34%"
"12.08.2019","3.507,31","3.555,00","3.572,68","3.506,37","23,56M","-0,77%"
"09.08.2019","3.534,57","3.563,77","3.570,37","3.530,81","25,10M","-1,11%"
"08.08.2019","3.574,42","3.566,89","3.584,94","3.546,54","26,22M","1,37%"
"07.08.2019","3.526,05","3.532,02","3.561,00","3.500,50","34,37M","0,59%"
"06.08.2019","3.505,49","3.524,54","3.547,37","3.505,49","30,38M","-0,58%"
"05.08.2019","3.525,89","3.567,50","3.568,96","3.511,74","36,16M","-2,41%"
"02.08.2019","3.613,00","3.658,73","3.666,61","3.606,00","51,96M","-3,14%"
"01.08.2019","3.729,97","3.690,09","3.733,95","3.684,15","36,50M","0,77%"
"31.07.2019","3.701,43","3.690,38","3.708,06","3.687,52","22,15M","0,77%"
"30.07.2019","3.673,09","3.738,07","3.738,07","3.661,65","25,41M","-1,67%"
"29.07.2019","3.735,36","3.730,18","3.750,61","3.725,83","14,44M","-0,02%"
"26.07.2019","3.735,95","3.743,81","3.749,52","3.725,81","18,84M","0,02%"
"25.07.2019","3.735,16","3.746,29","3.786,17","3.715,10","37,96M","0,23%"
"24.07.2019","3.726,47","3.728,76","3.743,03","3.717,47","16,29M","0,08%"
"23.07.2019","3.723,58","3.698,09","3.730,72","3.698,09","19,55M","1,17%"
"22.07.2019","3.680,49","3.661,04","3.688,35","3.655,85","17,15M","0,77%"
"19.07.2019","3.652,42","3.654,35","3.684,31","3.640,15","26,12M","0,88%"
"18.07.2019","3.620,71","3.610,08","3.627,41","3.597,19","16,44M","-0,15%"
"17.07.2019","3.626,13","3.643,76","3.652,73","3.618,37","18,21M","-0,64%"
"16.07.2019","3.649,64","3.616,95","3.652,07","3.616,95","18,24M","0,75%"
"15.07.2019","3.622,64","3.575,13","3.628,03","3.575,13","17,00M","1,24%"
"12.07.2019","3.578,37","3.557,62","3.586,75","3.556,94","19,84M","0,20%"
"11.07.2019","3.571,13","3.596,04","3.601,04","3.567,01","19,62M","-0,52%"
"10.07.2019","3.589,73","3.584,49","3.614,50","3.582,11","18,81M","0,05%"
"09.07.2019","3.587,91","3.591,87","3.599,63","3.565,56","20,80M","-0,57%"
"08.07.2019","3.608,59","3.632,51","3.643,26","3.602,53","20,39M","-0,96%"
"05.07.2019","3.643,73","3.660,41","3.662,85","3.637,06","20,80M","-0,38%"
"04.07.2019","3.657,65","3.643,39","3.661,59","3.643,39","16,18M","0,45%"
"03.07.2019","3.641,23","3.603,07","3.641,23","3.601,08","18,98M","1,24%"
"02.07.2019","3.596,79","3.602,19","3.608,32","3.584,92","20,10M","0,52%"
"01.07.2019","3.578,14","3.576,61","3.598,10","3.576,08","19,99M","0,86%"
"28.06.2019","3.547,46","3.510,96","3.547,46","3.510,48","19,28M","0,97%"
"27.06.2019","3.513,47","3.505,10","3.521,36","3.489,44","24,38M","0,46%"
"26.06.2019","3.497,32","3.494,23","3.520,57","3.492,38","28,20M","-0,03%"
"25.06.2019","3.498,23","3.479,45","3.503,54","3.474,47","17,69M","-0,00%"
"24.06.2019","3.498,32","3.506,19","3.530,64","3.495,37","21,71M","-0,20%"
"21.06.2019","3.505,48","3.523,56","3.536,12","3.496,13","45,97M","-0,37%"
"20.06.2019","3.518,52","3.539,33","3.548,83","3.518,52","26,52M","-0,20%"
"19.06.2019","3.525,56","3.514,72","3.529,83","3.490,76","22,65M","0,36%"
"18.06.2019","3.513,07","3.450,22","3.517,34","3.432,64","29,83M","1,80%"
"17.06.2019","3.450,81","3.468,80","3.470,06","3.447,51","15,98M","-0,37%"
"14.06.2019","3.463,71","3.490,19","3.494,07","3.454,47","17,14M","-0,81%"
"13.06.2019","3.492,15","3.494,53","3.512,83","3.486,35","17,18M","-0,25%"
"12.06.2019","3.500,78","3.498,43","3.504,81","3.488,21","17,52M","-0,44%"
"11.06.2019","3.516,28","3.489,04","3.530,78","3.487,49","21,19M","0,93%"
"10.06.2019","3.483,96","3.469,68","3.488,41","3.468,56","15,89M","0,77%"
"07.06.2019","3.457,47","3.448,22","3.469,86","3.446,06","23,08M","0,50%"
"06.06.2019","3.440,37","3.464,53","3.482,44","3.424,60","30,32M","-0,41%"
"05.06.2019","3.454,50","3.468,70","3.481,99","3.440,35","22,38M","-0,11%"
"04.06.2019","3.458,39","3.404,48","3.464,46","3.396,71","32,85M","1,12%"
"03.06.2019","3.420,05","3.403,95","3.420,05","3.382,83","22,21M","-0,21%"
"31.05.2019","3.427,18","3.421,11","3.428,37","3.399,55","22,39M","-0,82%"
"30.05.2019","3.455,50","3.450,45","3.461,74","3.444,21","13,57M","0,67%"
"29.05.2019","3.432,61","3.463,14","3.464,35","3.427,00","21,81M","-1,60%"
"28.05.2019","3.488,32","3.479,39","3.498,08","3.458,03","26,98M","0,39%"
"27.05.2019","3.474,83","3.486,79","3.492,89","3.469,83","10,06M","0,07%"
"24.05.2019","3.472,34","3.461,73","3.487,97","3.457,40","20,14M","0,79%"
"23.05.2019","3.445,09","3.467,22","3.481,92","3.443,47","25,66M","-1,25%"
"22.05.2019","3.488,75","3.490,78","3.508,26","3.470,10","21,58M","-0,18%"
"21.05.2019","3.494,94","3.486,12","3.498,46","3.481,86","17,15M","0,53%"
"20.05.2019","3.476,49","3.504,76","3.517,85","3.462,28","22,66M","-1,00%"
"17.05.2019","3.511,46","3.524,64","3.529,88","3.500,50","22,13M","-0,92%"
"16.05.2019","3.544,18","3.491,62","3.544,18","3.473,78","21,88M","1,44%"
"15.05.2019","3.493,82","3.498,21","3.498,34","3.451,79","27,81M","-0,04%"
"14.05.2019","3.495,15","3.463,62","3.495,15","3.456,85","19,51M","1,25%"
"13.05.2019","3.452,17","3.510,02","3.511,06","3.441,56","18,88M","-1,48%"
"10.05.2019","3.504,03","3.528,04","3.543,75","3.496,25","21,50M","0,33%"
"09.05.2019","3.492,39","3.550,30","3.551,42","3.487,60","23,80M","-2,31%"
"08.05.2019","3.574,86","3.586,01","3.602,91","3.562,34","24,88M","-0,59%"
"07.05.2019","3.595,96","3.638,67","3.648,35","3.585,86","21,44M","-2,33%"
"06.05.2019","3.681,80","3.647,91","3.681,83","3.634,32","18,24M","-0,90%"
"03.05.2019","3.715,37","3.724,67","3.741,66","3.715,37","13,50M","-0,07%"
"02.05.2019","3.718,03","3.726,20","3.743,74","3.706,28","24,27M","-0,68%"
"30.04.2019","3.743,67","3.728,03","3.752,24","3.723,94","22,20M","0,16%"
"29.04.2019","3.737,82","3.735,86","3.746,08","3.705,04","18,17M","0,27%"
"26.04.2019","3.727,62","3.712,79","3.734,08","3.701,39","17,17M","0,37%"
"25.04.2019","3.713,72","3.729,98","3.734,01","3.705,47","21,38M","-1,03%"
"24.04.2019","3.752,20","3.794,57","3.794,57","3.748,32","25,89M","-1,44%"
"23.04.2019","3.806,98","3.852,16","3.852,16","3.790,34","24,63M","-1,18%"
"18.04.2019","3.852,30","3.834,01","3.865,83","3.819,18","27,83M","0,14%"
"17.04.2019","3.846,82","3.853,08","3.866,78","3.827,92","30,23M","-0,35%"
"16.04.2019","3.860,17","3.849,95","3.866,06","3.841,36","28,01M","0,35%"
"15.04.2019","3.846,78","3.854,11","3.868,32","3.842,33","20,48M","0,04%"
"12.04.2019","3.845,05","3.801,28","3.845,05","3.790,56","31,82M","0,98%"
"11.04.2019","3.807,74","3.783,12","3.814,84","3.773,95","21,81M","0,78%"
"10.04.2019","3.778,30","3.787,96","3.805,10","3.772,58","20,35M","-0,31%"
"09.04.2019","3.790,21","3.787,45","3.811,29","3.774,61","16,96M","-0,08%"
"08.04.2019","3.793,08","3.792,29","3.806,88","3.780,55","12,72M","-0,32%"
"05.04.2019","3.805,39","3.787,25","3.813,70","3.786,69","18,67M","0,61%"
"04.04.2019","3.782,22","3.763,17","3.786,23","3.757,57","16,07M","0,25%"
"03.04.2019","3.772,70","3.759,99","3.773,82","3.758,16","23,44M","0,96%"
"02.04.2019","3.736,78","3.717,94","3.744,43","3.717,94","19,61M","0,62%"
"01.04.2019","3.713,60","3.684,23","3.716,18","3.680,59","22,47M","1,50%"
"29.03.2019","3.658,72","3.622,17","3.660,76","3.614,27","24,28M","1,60%"
"28.03.2019","3.601,07","3.616,88","3.633,39","3.598,76","16,28M","-0,37%"
"27.03.2019","3.614,57","3.596,35","3.644,19","3.588,95","31,83M","0,64%"
"26.03.2019","3.591,57","3.569,66","3.598,86","3.549,21","17,01M","0,87%"
"25.03.2019","3.560,68","3.567,99","3.585,60","3.538,03","21,02M","-0,78%"
"22.03.2019","3.588,73","3.667,66","3.670,19","3.586,26","29,00M","-1,80%"
"21.03.2019","3.654,66","3.648,29","3.661,10","3.634,68","19,50M","-0,03%"
