"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"30.12.2019","1.135,79","1.146,35","1.147,03","1.135,79","6,87M","-0,94%"
"27.12.2019","1.146,54","1.142,44","1.148,45","1.137,51","6,16M","0,37%"
"23.12.2019","1.142,29","1.134,53","1.142,31","1.133,51","6,69M","0,70%"
"20.12.2019","1.134,31","1.124,91","1.136,66","1.124,47","15,71M","0,83%"
"19.12.2019","1.124,97","1.121,95","1.129,36","1.120,28","10,77M","0,31%"
"18.12.2019","1.121,53","1.134,48","1.139,05","1.121,53","13,02M","-1,41%"
"17.12.2019","1.137,56","1.140,94","1.142,52","1.134,93","14,26M","-0,27%"
"16.12.2019","1.140,69","1.119,58","1.142,79","1.119,58","12,06M","1,94%"
"13.12.2019","1.119,02","1.118,28","1.126,77","1.115,96","15,59M","0,16%"
"12.12.2019","1.117,24","1.115,10","1.120,68","1.113,00","11,30M","0,20%"
"11.12.2019","1.114,99","1.118,58","1.120,17","1.111,29","10,50M","-0,33%"
"10.12.2019","1.118,72","1.120,08","1.124,18","1.112,44","9,82M","-0,15%"
"09.12.2019","1.120,45","1.124,82","1.127,85","1.116,47","9,10M","-0,35%"
"06.12.2019","1.124,44","1.120,08","1.125,81","1.116,07","9,86M","0,40%"
"05.12.2019","1.120,00","1.115,50","1.124,16","1.115,50","11,92M","0,42%"
"04.12.2019","1.115,28","1.106,38","1.117,66","1.106,38","9,10M","0,80%"
"03.12.2019","1.106,40","1.102,13","1.113,35","1.101,72","11,07M","0,40%"
"02.12.2019","1.101,97","1.108,67","1.117,63","1.101,97","13,66M","-0,57%"
"29.11.2019","1.108,34","1.112,16","1.117,21","1.108,34","9,49M","-0,60%"
"28.11.2019","1.115,08","1.112,82","1.116,02","1.111,03","6,66M","0,18%"
"27.11.2019","1.113,10","1.112,84","1.114,82","1.107,62","9,93M","0,03%"
"26.11.2019","1.112,75","1.103,58","1.113,00","1.099,89","16,57M","0,84%"
"25.11.2019","1.103,45","1.082,66","1.106,02","1.082,63","11,79M","1,93%"
