"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"30.12.2019","4.221,98","4.255,56","4.255,56","4.221,27","30,84M","-0,79%"
"27.12.2019","4.255,80","4.248,08","4.271,72","4.245,72","23,69M","0,17%"
"23.12.2019","4.248,70","4.235,75","4.263,52","4.234,10","27,86M","0,28%"
"20.12.2019","4.236,98","4.196,86","4.238,04","4.196,86","73,40M","0,96%"
"19.12.2019","4.196,86","4.175,21","4.204,77","4.173,67","47,68M","0,50%"
"18.12.2019","4.175,99","4.165,73","4.191,40","4.157,49","44,58M","0,24%"
"17.12.2019","4.165,90","4.135,35","4.179,77","4.134,86","42,62M","0,75%"
"16.12.2019","4.135,04","4.101,96","4.140,81","4.101,96","37,07M","0,86%"
"13.12.2019","4.099,86","4.074,90","4.132,22","4.074,90","51,37M","0,86%"
"12.12.2019","4.064,77","4.042,51","4.074,33","4.034,70","50,66M","0,60%"
"11.12.2019","4.040,55","4.035,58","4.051,10","4.020,42","36,77M","0,11%"
"10.12.2019","4.035,96","4.047,80","4.047,80","4.004,79","34,57M","-0,32%"
"09.12.2019","4.048,75","4.035,15","4.050,07","4.016,74","52,53M","0,55%"
"05.12.2019","4.026,46","4.038,50","4.050,63","4.018,22","34,99M","-0,25%"
"04.12.2019","4.036,50","3.991,74","4.046,47","3.986,05","35,28M","1,13%"
"03.12.2019","3.991,53","4.011,79","4.044,63","3.989,70","45,97M","-0,50%"
"02.12.2019","4.011,41","4.060,51","4.103,37","4.008,39","45,48M","-1,20%"
"29.11.2019","4.059,93","4.076,16","4.077,38","4.059,87","39,70M","-0,43%"
"28.11.2019","4.077,39","4.082,96","4.086,21","4.070,05","24,43M","-0,15%"
"27.11.2019","4.083,57","4.082,91","4.102,69","4.081,47","35,66M","0,03%"
"26.11.2019","4.082,35","4.085,50","4.090,12","4.064,90","61,43M","-0,09%"
"25.11.2019","4.085,96","4.067,15","4.097,28","4.067,15","41,36M","0,50%"
"22.11.2019","4.065,76","4.057,21","4.083,06","4.047,13","43,43M","0,19%"
"21.11.2019","4.057,99","4.077,95","4.077,95","4.049,33","34,91M","-0,56%"
"20.11.2019","4.080,95","4.084,20","4.084,20","4.054,11","38,53M","-0,09%"
"19.11.2019","4.084,72","4.106,26","4.124,47","4.077,60","35,39M","-0,46%"
"18.11.2019","4.103,50","4.120,74","4.136,41","4.098,84","28,53M","-0,45%"
"15.11.2019","4.122,12","4.096,39","4.126,69","4.082,35","47,68M","0,81%"
