"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"31.12.2019","7.183,41","7.186,50","7.193,92","7.167,59","3,46M","0,00%"
"30.12.2019","7.183,21","7.259,40","7.288,16","7.182,93","12,83M","-1,06%"
"27.12.2019","7.259,87","7.223,00","7.273,26","7.215,71","5,98M","0,51%"
"24.12.2019","7.222,94","7.187,82","7.227,55","7.187,82","1,92M","0,48%"
"23.12.2019","7.188,40","7.199,24","7.231,54","7.174,73","13,72M","-0,15%"
"20.12.2019","7.199,29","7.149,89","7.215,39","7.135,96","39,21M","0,69%"
"19.12.2019","7.149,89","7.123,42","7.161,52","7.121,73","18,82M","0,16%"
"18.12.2019","7.138,39","7.130,49","7.147,89","7.077,92","23,93M","0,22%"
"17.12.2019","7.122,61","7.203,88","7.203,88","7.073,54","21,22M","-1,27%"
"16.12.2019","7.213,99","7.197,91","7.238,74","7.143,99","40,98M","0,35%"
"13.12.2019","7.189,03","7.075,32","7.329,18","7.075,32","35,84M","1,60%"
"12.12.2019","7.075,64","7.036,06","7.126,05","7.033,53","22,59M","0,56%"
"11.12.2019","7.036,30","7.058,24","7.067,79","7.010,51","18,65M","-0,34%"
"10.12.2019","7.060,33","7.068,96","7.072,38","6.990,76","18,35M","-0,31%"
"09.12.2019","7.082,35","7.098,77","7.117,06","7.067,37","17,04M","-0,28%"
"06.12.2019","7.101,94","7.032,27","7.106,65","7.026,30","17,74M","0,99%"
"05.12.2019","7.032,56","6.993,68","7.047,63","6.993,68","15,52M","0,67%"
"04.12.2019","6.985,79","6.906,26","6.996,60","6.906,26","45,47M","1,15%"
"03.12.2019","6.906,51","6.973,39","7.000,26","6.877,05","23,54M","-0,84%"
"02.12.2019","6.964,75","6.994,98","7.063,87","6.946,03","22,19M","-0,48%"
"29.11.2019","6.998,06","7.026,51","7.027,78","6.976,61","12,32M","-0,40%"
"28.11.2019","7.026,38","7.041,63","7.048,18","6.995,55","13,96M","-0,21%"
"27.11.2019","7.041,17","7.013,99","7.062,04","6.993,68","21,48M","0,39%"
"26.11.2019","7.013,74","6.894,45","7.013,74","6.894,45","38,43M","1,74%"
"25.11.2019","6.893,70","6.827,04","6.895,42","6.827,04","12,74M","1,01%"
"22.11.2019","6.824,67","6.728,98","6.825,91","6.728,47","23,15M","1,44%"
"21.11.2019","6.727,90","6.805,60","6.805,60","6.718,81","18,92M","-1,14%"
"20.11.2019","6.805,60","6.881,92","6.881,92","6.793,99","31,36M","-1,21%"
"19.11.2019","6.889,12","6.888,90","6.965,24","6.868,08","22,89M","0,01%"
"18.11.2019","6.888,40","6.922,34","6.935,54","6.865,33","23,58M","-0,48%"
"15.11.2019","6.921,83","6.838,85","6.921,83","6.838,09","17,32M","1,26%"
