"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"31.12.2019","1.683,29","1.675,58","1.683,42","1.675,58","80,10M","0,49%"
"30.12.2019","1.675,10","1.682,17","1.687,36","1.675,10","95,29M","-0,33%"
"29.12.2019","1.680,72","1.682,20","1.684,43","1.678,71","21,09M","-0,28%"
"26.12.2019","1.685,49","1.684,06","1.687,55","1.680,99","154,04M","-0,37%"
"25.12.2019","1.691,79","1.689,85","1.701,74","1.689,74","47,02M","0,23%"
"24.12.2019","1.687,86","1.680,63","1.689,10","1.678,68","34,71M","0,66%"
"23.12.2019","1.676,87","1.683,83","1.684,95","1.669,86","58,33M","-0,39%"
"22.12.2019","1.683,45","1.686,88","1.687,95","1.683,25","16,31M","0,35%"
"19.12.2019","1.677,56","1.682,00","1.686,93","1.674,72","40,73M","-0,55%"
"18.12.2019","1.686,76","1.687,16","1.688,89","1.683,67","26,64M","-0,03%"
"17.12.2019","1.687,29","1.691,23","1.692,05","1.684,67","36,79M","-0,31%"
"16.12.2019","1.692,62","1.690,21","1.693,23","1.687,16","59,66M","0,24%"
"15.12.2019","1.688,49","1.689,58","1.695,27","1.687,51","18,97M","-0,18%"
"12.12.2019","1.691,56","1.685,53","1.692,40","1.681,38","53,31M","0,08%"
"11.12.2019","1.690,26","1.686,47","1.690,26","1.684,11","44,11M","0,14%"
"10.12.2019","1.687,89","1.687,50","1.688,47","1.677,81","37,37M","-0,01%"
"09.12.2019","1.688,14","1.688,15","1.689,05","1.683,34","30,08M","-0,02%"
"08.12.2019","1.688,47","1.688,90","1.690,30","1.685,14","16,72M","0,64%"
"05.12.2019","1.677,68","1.696,12","1.696,12","1.677,29","74,14M","-0,24%"
"04.12.2019","1.681,77","1.675,33","1.684,75","1.671,95","36,90M","0,55%"
"03.12.2019","1.672,51","1.684,80","1.688,08","1.668,45","38,14M","-0,81%"
"02.12.2019","1.686,14","1.699,13","1.699,85","1.683,57","30,65M","-0,52%"
"01.12.2019","1.694,91","1.699,98","1.703,18","1.693,13","12,72M","-0,45%"
"28.11.2019","1.702,52","1.694,70","1.702,52","1.689,91","82,47M","0,71%"
"27.11.2019","1.690,46","1.685,41","1.693,50","1.683,93","32,29M","0,12%"
"26.11.2019","1.688,38","1.682,65","1.690,18","1.681,60","44,17M","0,43%"
"25.11.2019","1.681,14","1.663,22","1.681,14","1.663,22","40,87M","1,27%"
"24.11.2019","1.660,08","1.660,34","1.662,39","1.657,63","13,12M","0,12%"
"21.11.2019","1.658,13","1.666,03","1.666,95","1.656,40","31,26M","-0,43%"
"20.11.2019","1.665,36","1.665,03","1.666,26","1.659,29","28,23M","-0,42%"
"19.11.2019","1.672,32","1.667,77","1.675,17","1.665,97","34,94M","0,39%"
"18.11.2019","1.665,78","1.675,00","1.676,92","1.663,93","45,44M","-0,50%"
"17.11.2019","1.674,09","1.677,70","1.679,23","1.673,71","16,79M","0,60%"
"14.11.2019","1.664,07","1.667,54","1.667,54","1.661,25","44,43M","0,33%"
"13.11.2019","1.658,65","1.659,29","1.662,47","1.653,46","50,87M","-0,01%"
"12.11.2019","1.658,85","1.656,61","1.658,85","1.650,96","27,50M","-0,08%"
"11.11.2019","1.660,21","1.661,77","1.663,61","1.658,11","39,90M","-0,44%"
"10.11.2019","1.667,47","1.671,31","1.673,15","1.665,41","25,02M","-0,08%"
"07.11.2019","1.668,76","1.670,10","1.670,10","1.662,78","117,94M","0,28%"
"06.11.2019","1.664,04","1.668,85","1.672,14","1.664,04","37,62M","-0,45%"
"05.11.2019","1.671,60","1.670,08","1.674,37","1.666,17","34,31M","0,20%"
"04.11.2019","1.668,24","1.670,20","1.677,01","1.668,24","29,69M","-0,01%"
"03.11.2019","1.668,33","1.663,16","1.669,08","1.661,85","21,73M","0,86%"
"31.10.2019","1.654,13","1.649,66","1.660,31","1.645,04","54,42M","0,06%"
"30.10.2019","1.653,10","1.659,43","1.662,93","1.651,70","24,76M","-0,47%"
"29.10.2019","1.660,83","1.658,73","1.661,22","1.654,94","34,41M","0,00%"
"28.10.2019","1.660,83","1.658,05","1.664,45","1.655,19","37,27M","0,17%"
"27.10.2019","1.658,05","1.659,76","1.661,34","1.655,40","16,35M","0,29%"
"24.10.2019","1.653,18","1.664,09","1.667,21","1.650,45","67,43M","0,01%"
"23.10.2019","1.653,06","1.652,48","1.662,52","1.647,85","56,28M","-0,20%"
"22.10.2019","1.656,41","1.662,31","1.662,85","1.654,66","45,15M","0,47%"
"17.10.2019","1.648,74","1.642,29","1.652,59","1.641,52","28,12M","-0,11%"
"16.10.2019","1.650,62","1.636,75","1.650,62","1.634,13","17,62M","1,21%"
"15.10.2019","1.630,81","1.628,32","1.632,08","1.626,99","22,95M","1,20%"
"10.10.2019","1.611,46","1.608,00","1.611,46","1.603,26","32,02M","-0,11%"
"07.10.2019","1.613,25","1.609,78","1.614,44","1.606,78","30,84M","-0,02%"
"06.10.2019","1.613,61","1.608,85","1.613,61","1.608,84","20,78M","1,49%"
"03.10.2019","1.589,87","1.606,13","1.606,13","1.589,87","92,68M","-0,81%"
"02.10.2019","1.602,89","1.610,65","1.611,51","1.597,32","40,95M","-0,78%"
"26.09.2019","1.615,48","1.628,39","1.628,39","1.614,67","78,23M","0,64%"
"25.09.2019","1.605,25","1.605,64","1.608,68","1.599,69","26,40M","-0,18%"
"24.09.2019","1.608,10","1.608,96","1.611,16","1.604,83","30,94M","0,07%"
"23.09.2019","1.606,92","1.615,00","1.618,88","1.605,78","35,09M","-0,27%"
"22.09.2019","1.611,21","1.609,54","1.611,21","1.606,71","11,13M","-0,63%"
"19.09.2019","1.621,49","1.616,81","1.625,47","1.613,50","63,16M","0,30%"
"18.09.2019","1.616,59","1.605,91","1.626,83","1.605,14","38,29M","0,49%"
"16.09.2019","1.608,77","1.604,84","1.608,77","1.597,17","32,38M","-0,02%"
"15.09.2019","1.609,16","1.613,12","1.615,92","1.609,13","12,15M","-0,40%"
"12.09.2019","1.615,61","1.614,10","1.617,80","1.607,28","60,39M","0,65%"
"11.09.2019","1.605,23","1.592,26","1.605,84","1.592,15","60,16M","1,29%"
"10.09.2019","1.584,80","1.578,06","1.585,57","1.574,37","71,53M","0,55%"
"09.09.2019","1.576,20","1.570,39","1.576,20","1.566,09","31,72M","0,26%"
"08.09.2019","1.572,16","1.576,21","1.577,63","1.571,57","19,71M","0,63%"
"05.09.2019","1.562,28","1.565,96","1.567,33","1.556,51","111,33M","0,25%"
"04.09.2019","1.558,45","1.555,55","1.563,92","1.555,47","45,53M","0,83%"
"03.09.2019","1.545,58","1.556,24","1.556,24","1.545,35","42,76M","-0,76%"
"02.09.2019","1.557,41","1.561,03","1.566,50","1.555,38","23,96M","-0,18%"
"01.09.2019","1.560,26","1.559,72","1.564,52","1.559,72","10,59M","-0,11%"
"29.08.2019","1.561,98","1.563,32","1.564,83","1.555,87","101,77M","1,46%"
"28.08.2019","1.539,45","1.545,17","1.547,31","1.532,68","47,79M","-0,75%"
"27.08.2019","1.551,03","1.561,43","1.563,24","1.547,55","40,91M","-0,36%"
"26.08.2019","1.556,56","1.544,27","1.562,18","1.543,54","28,07M","0,84%"
"25.08.2019","1.543,59","1.556,36","1.556,36","1.543,59","26,12M","-3,23%"
"22.08.2019","1.595,05","1.582,88","1.601,06","1.582,03","34,34M","0,24%"
"21.08.2019","1.591,28","1.580,84","1.594,96","1.580,84","26,60M","0,66%"
"20.08.2019","1.580,80","1.577,72","1.580,80","1.567,35","26,22M","0,27%"
"19.08.2019","1.576,47","1.564,44","1.576,47","1.555,32","43,79M","1,42%"
"18.08.2019","1.554,40","1.565,88","1.570,21","1.547,96","16,07M","0,08%"
"15.08.2019","1.553,21","1.563,96","1.572,87","1.542,26","63,77M","-0,72%"
"14.08.2019","1.564,42","1.611,39","1.612,43","1.561,35","92,13M","-2,89%"
"13.08.2019","1.611,03","1.595,65","1.611,03","1.590,66","33,22M","0,35%"
"12.08.2019","1.605,48","1.618,01","1.623,50","1.602,20","29,17M","-0,56%"
"08.08.2019","1.614,53","1.613,99","1.619,31","1.601,94","47,97M","1,87%"
"07.08.2019","1.584,84","1.599,37","1.613,38","1.576,77","44,55M","-1,10%"
"06.08.2019","1.602,45","1.596,89","1.611,39","1.591,08","57,84M","0,54%"
"05.08.2019","1.593,79","1.613,45","1.613,45","1.593,79","37,83M","-2,06%"
"04.08.2019","1.627,32","1.611,86","1.630,43","1.610,20","21,85M","-0,23%"
"01.08.2019","1.631,09","1.618,38","1.634,64","1.613,64","209,20M","0,41%"
"31.07.2019","1.624,42","1.616,78","1.626,37","1.616,70","45,58M","0,86%"
"30.07.2019","1.610,54","1.614,99","1.616,19","1.604,12","60,13M","-0,22%"
"29.07.2019","1.614,02","1.620,31","1.623,94","1.613,39","37,34M","-0,46%"
"28.07.2019","1.621,52","1.614,99","1.623,92","1.614,67","19,14M","0,75%"
"25.07.2019","1.609,52","1.620,17","1.621,65","1.604,28","97,31M","-0,06%"
"24.07.2019","1.610,49","1.592,04","1.611,23","1.590,01","45,92M","1,28%"
"23.07.2019","1.590,13","1.573,21","1.591,09","1.570,37","39,70M","1,27%"
"22.07.2019","1.570,13","1.567,49","1.574,22","1.567,49","24,34M","0,37%"
"21.07.2019","1.564,36","1.560,84","1.565,13","1.555,36","11,96M","0,00%"
"18.07.2019","1.564,30","1.570,34","1.572,08","1.560,83","41,56M","-0,66%"
"17.07.2019","1.574,62","1.588,69","1.591,82","1.574,49","30,93M","-1,11%"
"16.07.2019","1.592,36","1.598,94","1.599,89","1.590,15","36,23M","-0,41%"
"15.07.2019","1.598,93","1.602,88","1.606,11","1.595,93","30,58M","-0,37%"
"14.07.2019","1.604,82","1.608,95","1.609,74","1.604,39","7,38M","0,45%"
"11.07.2019","1.597,67","1.606,55","1.606,69","1.595,63","28,09M","-0,40%"
"10.07.2019","1.604,05","1.600,22","1.607,52","1.598,40","60,09M","0,25%"
"09.07.2019","1.600,05","1.589,36","1.600,05","1.587,60","40,86M","0,18%"
"08.07.2019","1.597,21","1.597,33","1.599,32","1.592,66","82,73M","-0,41%"
"07.07.2019","1.603,84","1.603,27","1.606,21","1.601,58","24,35M","-0,16%"
"04.07.2019","1.606,35","1.604,06","1.608,16","1.601,30","35,12M","0,30%"
"03.07.2019","1.601,59","1.597,64","1.604,06","1.595,34","42,93M","0,40%"
"02.07.2019","1.595,14","1.596,20","1.598,37","1.590,93","33,16M","0,07%"
"01.07.2019","1.594,02","1.601,76","1.605,99","1.593,78","43,58M","-0,25%"
"30.06.2019","1.598,05","1.591,54","1.598,35","1.591,54","26,25M","1,20%"
