"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"31.12.2019","11.491,90","11.556,45","11.585,69","11.491,90","11,51M","-0,56%"
"30.12.2019","11.556,45","11.602,12","11.628,82","11.556,45","13,63M","-0,50%"
"29.12.2019","11.614,50","11.602,12","11.628,82","11.600,28","866,63K","0,11%"
"27.12.2019","11.602,12","11.593,69","11.624,74","11.577,09","9,05M","-0,35%"
"24.12.2019","11.642,78","11.547,23","11.642,78","11.543,34","6,16M","0,83%"
"23.12.2019","11.547,23","11.482,29","11.585,99","11.482,29","14,06M","0,35%"
"22.12.2019","11.507,47","11.482,29","11.510,04","11.482,29","1,83M","0,22%"
"20.12.2019","11.482,29","11.480,61","11.512,27","11.470,31","46,84M","0,01%"
"19.12.2019","11.480,61","11.329,56","11.480,61","11.329,56","33,36M","1,33%"
"18.12.2019","11.329,56","11.260,84","11.354,62","11.260,84","23,70M","0,61%"
"17.12.2019","11.260,84","11.226,83","11.299,81","11.226,83","35,33M","0,30%"
"16.12.2019","11.226,83","11.241,59","11.251,56","11.211,56","15,49M","-0,10%"
"15.12.2019","11.238,10","11.241,59","11.245,97","11.231,79","1,39M","-0,03%"
"13.12.2019","11.241,59","11.307,98","11.307,98","11.215,71","24,62M","-0,59%"
"12.12.2019","11.307,98","11.291,96","11.312,29","11.275,30","21,00M","0,14%"
"11.12.2019","11.291,96","11.284,22","11.293,07","11.242,44","23,65M","0,07%"
"10.12.2019","11.284,22","11.229,59","11.284,22","11.221,93","28,55M","0,49%"
"09.12.2019","11.229,59","11.276,20","11.286,94","11.188,29","28,42M","-0,32%"
"08.12.2019","11.265,96","11.276,20","11.276,20","11.188,29","3,58M","-0,09%"
"06.12.2019","11.276,20","11.264,82","11.298,03","11.261,38","24,17M","0,16%"
"05.12.2019","11.257,79","11.216,68","11.317,41","11.216,68","19,84M","0,43%"
"04.12.2019","11.209,87","11.230,28","11.230,28","11.173,86","30,29M","-0,16%"
"03.12.2019","11.228,27","11.301,98","11.312,92","11.228,27","31,77M","-0,65%"
"02.12.2019","11.301,98","11.323,68","11.361,23","11.301,98","18,95M","-0,09%"
"01.12.2019","11.311,77","11.323,68","11.323,68","11.305,29","1,20M","-0,04%"
"29.11.2019","11.316,58","11.207,29","11.337,45","11.207,29","36,90M","0,98%"
"28.11.2019","11.207,29","11.124,90","11.273,22","11.104,38","21,11M","0,78%"
"27.11.2019","11.120,81","11.048,97","11.128,98","11.042,16","22,65M","0,69%"
"26.11.2019","11.044,54","10.953,67","11.045,98","10.953,67","116,36M","0,83%"
"25.11.2019","10.953,67","10.946,30","10.977,60","10.928,84","26,40M","0,19%"
"24.11.2019","10.933,39","10.946,30","10.947,60","10.928,84","1,02M","-0,12%"
"22.11.2019","10.946,30","10.958,16","10.961,22","10.914,39","27,00M","-0,11%"
"21.11.2019","10.958,16","10.983,18","11.008,98","10.946,28","29,58M","-0,16%"
"20.11.2019","10.975,49","10.892,24","10.975,49","10.892,24","33,20M","0,76%"
"19.11.2019","10.892,24","10.873,55","11.031,81","10.873,55","48,58M","0,18%"
"18.11.2019","10.873,16","10.894,70","10.931,04","10.835,78","19,01M","-0,42%"
"17.11.2019","10.919,30","10.894,70","10.931,04","10.894,70","1,30M","0,23%"
"15.11.2019","10.894,70","10.899,25","10.964,35","10.883,73","24,71M","-0,04%"
"14.11.2019","10.899,25","10.835,43","10.904,91","10.817,44","27,80M","0,59%"
"13.11.2019","10.835,43","10.926,31","10.992,04","10.830,69","33,35M","-0,83%"
"12.11.2019","10.926,31","10.921,97","10.947,31","10.897,91","26,51M","0,06%"
"11.11.2019","10.919,79","10.878,71","10.919,79","10.865,10","21,97M","0,36%"
"10.11.2019","10.881,13","10.878,71","10.892,69","10.865,10","1,78M","0,04%"
"08.11.2019","10.876,98","10.795,97","10.876,98","10.795,97","39,93M","0,76%"
"07.11.2019","10.795,06","10.759,18","10.795,06","10.728,38","29,18M","0,33%"
"06.11.2019","10.759,18","10.841,54","10.841,54","10.728,05","27,28M","-0,76%"
"05.11.2019","10.841,54","10.801,55","10.849,55","10.783,91","26,49M","0,37%"
"04.11.2019","10.801,55","10.761,69","10.838,49","10.761,69","17,84M","-0,08%"
"03.11.2019","10.810,58","10.761,69","10.813,49","10.761,69","1,33M","0,45%"
"01.11.2019","10.761,69","10.787,82","10.787,82","10.723,28","24,16M","-0,24%"
"31.10.2019","10.787,82","10.789,54","10.804,20","10.733,95","43,26M","-0,02%"
"30.10.2019","10.789,54","10.793,75","10.825,72","10.785,90","28,13M","-0,04%"
"29.10.2019","10.793,75","10.788,64","10.861,74","10.788,64","28,31M","-0,32%"
"28.10.2019","10.828,60","10.788,64","10.861,74","10.788,64","2,82M","0,37%"
"25.10.2019","10.788,64","10.831,52","10.869,38","10.788,64","20,35M","-0,40%"
"24.10.2019","10.831,52","10.853,79","10.906,47","10.831,52","27,58M","-0,21%"
"23.10.2019","10.853,79","11.090,39","11.090,39","10.834,68","42,57M","-2,13%"
"22.10.2019","11.090,39","11.062,75","11.099,09","11.057,46","17,43M","0,25%"
"21.10.2019","11.062,75","11.067,12","11.100,15","11.037,10","20,16M","-0,02%"
"20.10.2019","11.065,02","11.067,12","11.099,85","11.062,84","1,31M","-0,02%"
"18.10.2019","11.067,12","11.141,86","11.168,55","11.067,12","28,59M","-0,67%"
"17.10.2019","11.141,86","11.178,64","11.179,68","11.136,88","21,72M","-0,33%"
"16.10.2019","11.178,64","11.049,61","11.178,64","11.049,61","26,46M","1,21%"
"15.10.2019","11.045,34","11.026,60","11.084,71","11.026,60","26,42M","0,17%"
"14.10.2019","11.026,60","10.923,71","11.074,77","10.923,71","29,46M","-0,03%"
"13.10.2019","11.030,25","10.923,71","11.030,25","10.923,71","3,74M","0,98%"
"11.10.2019","10.923,71","10.886,73","10.946,56","10.886,73","17,09M","0,34%"
"10.10.2019","10.886,73","10.940,86","10.961,45","10.886,73","29,72M","-0,49%"
"09.10.2019","10.940,86","11.016,15","11.016,15","10.929,75","19,87M","-0,68%"
"08.10.2019","11.016,15","10.975,62","11.016,15","10.938,63","25,99M","0,37%"
"07.10.2019","10.975,62","10.892,82","10.975,62","10.892,82","13,70M","0,31%"
"06.10.2019","10.941,78","10.892,82","10.950,04","10.892,82","1,24M","0,45%"
"04.10.2019","10.892,82","10.821,21","10.938,32","10.821,21","26,80M","0,66%"
"03.10.2019","10.821,21","10.963,54","10.963,54","10.784,14","20,22M","-1,19%"
"02.10.2019","10.951,64","10.996,99","10.996,99","10.926,66","27,75M","-0,41%"
"01.10.2019","10.996,99","10.927,31","10.996,99","10.898,95","20,78M","0,65%"
"30.09.2019","10.925,62","10.836,50","10.925,62","10.832,17","32,06M","0,64%"
"29.09.2019","10.856,36","10.836,50","10.860,61","10.832,17","561,17K","0,18%"
"27.09.2019","10.836,50","10.841,30","10.859,89","10.807,17","16,42M","0,13%"
"26.09.2019","10.822,77","10.865,17","10.910,45","10.822,77","22,99M","-0,36%"
"25.09.2019","10.861,44","10.858,71","10.881,46","10.820,15","23,35M","0,03%"
"24.09.2019","10.858,71","10.873,33","10.893,50","10.850,92","22,22M","-0,13%"
"23.09.2019","10.873,33","10.835,25","10.880,56","10.832,39","15,80M","0,35%"
"22.09.2019","10.835,25","10.835,25","10.835,25","10.835,25","-","0,05%"
"20.09.2019","10.829,39","10.801,05","10.870,67","10.797,10","56,70M","0,26%"
"19.09.2019","10.801,05","10.801,36","10.832,92","10.767,81","22,39M","0,24%"
"18.09.2019","10.774,85","10.868,03","10.876,99","10.768,32","24,63M","-0,86%"
"17.09.2019","10.868,03","10.831,75","10.892,67","10.831,75","32,81M","0,33%"
"16.09.2019","10.831,75","10.863,41","10.959,31","10.819,92","15,04M","-0,29%"
"15.09.2019","10.863,41","10.863,41","10.863,41","10.863,41","-","0,00%"
"13.09.2019","10.863,41","10.905,06","10.940,59","10.857,80","25,95M","-0,38%"
"12.09.2019","10.905,06","10.936,97","10.973,79","10.897,91","24,67M","-0,18%"
"11.09.2019","10.924,88","11.143,66","11.143,66","10.908,47","35,92M","-1,95%"
"10.09.2019","11.142,58","11.204,21","11.204,21","11.088,59","32,52M","-0,54%"
"09.09.2019","11.202,93","11.219,76","11.222,31","11.170,77","23,75M","-0,15%"
"08.09.2019","11.219,76","11.219,76","11.219,76","11.219,76","-","0,01%"
"06.09.2019","11.218,99","11.108,71","11.220,97","11.108,71","40,65M","1,01%"
"05.09.2019","11.106,67","11.014,37","11.117,49","11.004,13","34,73M","0,90%"
"04.09.2019","11.008,13","10.955,61","11.016,66","10.878,04","30,49M","0,49%"
"03.09.2019","10.953,92","10.800,00","10.953,92","10.793,64","22,43M","1,43%"
"02.09.2019","10.800,00","10.757,20","10.800,43","10.685,50","20,12M","0,40%"
"01.09.2019","10.757,20","10.757,20","10.757,20","10.757,20","-","0,00%"
"30.08.2019","10.757,20","10.580,07","10.757,20","10.580,07","51,75M","1,67%"
"29.08.2019","10.580,07","10.633,64","10.662,29","10.580,07","29,66M","-0,43%"
"28.08.2019","10.626,17","10.541,97","10.626,17","10.511,56","30,08M","1,07%"
"27.08.2019","10.513,16","10.483,47","10.583,17","10.483,47","37,83M","0,28%"
"26.08.2019","10.483,47","10.623,78","10.623,78","10.424,08","20,27M","-0,43%"
"25.08.2019","10.529,12","10.623,78","10.623,78","10.528,95","642,63K","-0,88%"
"23.08.2019","10.622,35","10.726,10","10.745,86","10.622,35","33,60M","-0,96%"
"22.08.2019","10.725,22","10.712,60","10.753,51","10.687,07","47,55M","0,15%"
"21.08.2019","10.709,32","10.803,84","10.803,84","10.604,41","47,92M","-0,87%"
"20.08.2019","10.803,84","10.702,48","10.803,84","10.702,48","22,51M","0,95%"
"19.08.2019","10.702,48","10.655,36","10.706,35","10.655,36","29,64M","0,23%"
"18.08.2019","10.677,97","10.655,36","10.677,97","10.655,36","214,42K","0,21%"
"16.08.2019","10.655,36","10.704,11","10.707,98","10.630,81","33,32M","-0,46%"
"15.08.2019","10.704,11","10.849,76","10.849,76","10.668,93","27,11M","-1,34%"
"14.08.2019","10.849,76","10.854,77","10.922,64","10.825,45","28,57M","-0,05%"
"13.08.2019","10.854,77","10.872,74","10.872,74","10.794,09","21,24M","-0,17%"
"12.08.2019","10.872,74","10.873,21","10.900,33","10.842,98","17,58M","-0,00%"
"11.08.2019","10.873,21","10.873,21","10.873,21","10.873,21","-","0,00%"
"09.08.2019","10.873,21","10.875,20","10.927,10","10.868,80","20,47M","-0,01%"
"08.08.2019","10.874,30","10.786,26","10.874,30","10.785,95","31,31M","0,82%"
"07.08.2019","10.786,26","10.587,17","10.786,26","10.587,17","32,56M","1,88%"
"06.08.2019","10.587,17","10.766,03","10.766,03","10.503,27","26,62M","-1,66%"
"05.08.2019","10.766,03","10.863,87","10.863,87","10.755,19","24,13M","-0,90%"
"04.08.2019","10.863,87","10.863,87","10.863,87","10.863,87","-","0,00%"
"02.08.2019","10.863,87","10.860,82","10.863,87","10.803,83","21,05M","0,03%"
"01.08.2019","10.860,82","10.857,75","10.862,89","10.811,97","21,30M","0,03%"
"31.07.2019","10.857,75","10.878,95","10.922,98","10.857,75","31,61M","-0,19%"
"30.07.2019","10.878,95","10.851,36","10.903,56","10.843,65","23,29M","0,25%"
"29.07.2019","10.851,36","10.807,61","10.869,23","10.802,14","17,48M","0,40%"
"28.07.2019","10.807,61","10.807,61","10.807,61","10.807,61","-","0,00%"
"26.07.2019","10.807,61","10.898,28","10.898,28","10.807,61","20,00M","-0,83%"
"25.07.2019","10.898,28","10.812,54","10.898,28","10.812,04","23,88M","0,79%"
"24.07.2019","10.812,54","10.867,25","10.892,01","10.805,16","20,54M","-0,50%"
"23.07.2019","10.867,25","10.824,69","10.874,37","10.807,92","17,45M","0,39%"
"22.07.2019","10.824,69","10.753,15","10.824,69","10.734,92","22,36M","0,66%"
"21.07.2019","10.753,78","10.753,15","10.753,78","10.752,04","6,30M","0,01%"
"19.07.2019","10.753,15","10.741,09","10.783,18","10.709,84","21,43M","0,11%"
"18.07.2019","10.741,09","10.654,80","10.741,09","10.652,63","23,31M","0,81%"
"17.07.2019","10.654,80","10.651,20","10.668,87","10.629,76","23,44M","0,03%"
"16.07.2019","10.651,20","10.666,56","10.700,51","10.631,02","19,40M","-0,14%"
"15.07.2019","10.666,56","10.701,43","10.718,16","10.650,80","17,43M","-0,33%"
"14.07.2019","10.701,43","10.701,43","10.701,43","10.701,43","-","0,00%"
"12.07.2019","10.701,43","10.687,32","10.701,43","10.646,13","15,21M","0,13%"
"11.07.2019","10.687,32","10.652,97","10.702,09","10.651,27","26,29M","0,35%"
"10.07.2019","10.650,14","10.538,11","10.658,78","10.533,46","20,12M","1,06%"
"09.07.2019","10.538,11","10.605,98","10.605,98","10.528,90","28,64M","-0,64%"
"08.07.2019","10.605,98","10.615,47","10.632,04","10.594,88","16,58M","-0,09%"
"07.07.2019","10.615,47","10.615,47","10.615,47","10.615,47","-","0,00%"
"05.07.2019","10.615,47","10.558,28","10.630,96","10.558,28","30,02M","0,54%"
"04.07.2019","10.558,28","10.544,43","10.580,43","10.544,43","34,44M","0,13%"
"03.07.2019","10.544,43","10.531,94","10.561,38","10.517,24","19,72M","0,12%"
"02.07.2019","10.531,94","10.464,53","10.534,77","10.464,53","23,86M","0,64%"
"01.07.2019","10.464,53","10.501,10","10.519,89","10.464,53","16,94M","-0,35%"
"30.06.2019","10.501,10","10.501,10","10.501,10","10.501,10","-","0,00%"
"28.06.2019","10.501,10","10.431,22","10.501,10","10.431,22","35,66M","0,67%"
"27.06.2019","10.431,22","10.408,05","10.432,51","10.373,72","23,22M","0,22%"
"26.06.2019","10.408,05","10.418,29","10.448,08","10.386,28","27,77M","-0,10%"
"25.06.2019","10.418,29","10.389,44","10.436,54","10.365,52","27,56M","0,29%"
"24.06.2019","10.388,31","10.327,29","10.388,31","10.268,78","18,37M","0,59%"
"23.06.2019","10.327,29","10.327,29","10.327,29","10.327,29","-","0,00%"
"21.06.2019","10.327,29","10.290,76","10.327,29","10.271,83","62,14M","0,35%"
"20.06.2019","10.290,76","10.311,69","10.354,07","10.261,96","27,13M","-0,14%"
"19.06.2019","10.304,83","10.191,33","10.309,89","10.191,33","27,12M","1,11%"
"18.06.2019","10.191,33","10.170,26","10.213,18","10.167,27","26,45M","0,21%"
"17.06.2019","10.170,26","10.235,37","10.235,37","10.170,26","18,84M","-0,64%"
"16.06.2019","10.235,37","10.235,37","10.235,37","10.235,37","-","0,00%"
"14.06.2019","10.235,37","10.223,81","10.235,37","10.202,22","35,04M","0,11%"
"13.06.2019","10.223,81","10.213,63","10.223,81","10.186,32","21,71M","0,18%"
"12.06.2019","10.205,14","10.139,15","10.205,14","10.106,41","23,56M","0,65%"
"11.06.2019","10.139,15","10.029,49","10.139,15","10.029,49","25,26M","1,11%"
"10.06.2019","10.027,61","10.047,82","10.072,90","10.020,14","11,79M","-0,36%"
"09.06.2019","10.063,67","10.047,82","10.069,34","10.047,82","2,21M","0,16%"
"07.06.2019","10.047,82","9.987,00","10.047,82","9.966,13","22,88M","0,61%"
"06.06.2019","9.987,00","9.964,56","9.997,56","9.953,44","24,14M","0,31%"
"05.06.2019","9.956,06","9.954,33","10.033,89","9.951,80","23,15M","0,04%"
"04.06.2019","9.951,93","10.122,87","10.122,87","9.927,05","24,04M","-0,21%"
"03.06.2019","9.972,61","10.122,87","10.122,87","9.972,61","4,15M","-1,44%"
"31.05.2019","10.117,99","10.071,98","10.117,99","10.053,70","33,56M","0,46%"
"30.05.2019","10.071,98","10.097,61","10.098,34","10.061,24","18,05M","-0,24%"
"29.05.2019","10.096,47","10.123,32","10.123,32","10.048,81","34,26M","-0,27%"
"28.05.2019","10.123,32","10.147,71","10.172,94","10.081,80","47,58M","-0,24%"
"27.05.2019","10.147,71","10.222,36","10.240,40","10.147,71","19,39M","-0,53%"
"26.05.2019","10.201,59","10.222,36","10.240,40","10.196,31","4,75M","-0,20%"
"24.05.2019","10.222,36","10.263,41","10.263,41","10.199,37","35,37M","-0,40%"
"23.05.2019","10.263,41","10.237,48","10.265,46","10.228,20","22,01M","0,25%"
"22.05.2019","10.237,48","10.216,09","10.251,32","10.216,09","24,30M","0,21%"
"21.05.2019","10.216,09","10.234,15","10.254,89","10.190,64","25,24M","-0,18%"
"20.05.2019","10.234,15","10.180,80","10.234,15","10.180,80","17,43M","0,20%"
"19.05.2019","10.213,73","10.180,80","10.220,94","10.180,80","2,55M","0,32%"
"17.05.2019","10.180,80","10.176,99","10.231,72","10.174,90","21,92M","0,04%"
"16.05.2019","10.176,99","10.146,18","10.213,64","10.146,18","23,44M","0,45%"
"15.05.2019","10.131,58","10.070,35","10.171,89","10.070,35","32,24M","0,61%"
"14.05.2019","10.070,35","10.127,72","10.127,72","10.002,73","32,64M","-0,56%"
"13.05.2019","10.126,83","10.101,09","10.143,56","10.088,61","15,59M","0,19%"
"12.05.2019","10.107,29","10.101,09","10.111,42","10.088,61","1,99M","0,08%"
"10.05.2019","10.099,37","10.104,35","10.123,32","10.082,89","27,26M","-0,05%"
"09.05.2019","10.104,35","10.063,05","10.114,53","10.060,67","40,29M","0,41%"
"08.05.2019","10.063,05","10.027,39","10.063,91","9.950,68","31,16M","0,36%"
"07.05.2019","10.027,39","9.960,62","10.035,30","9.960,62","26,25M","0,67%"
"06.05.2019","9.960,62","10.058,08","10.058,08","9.948,24","22,81M","-0,34%"
"05.05.2019","9.994,74","10.058,08","10.058,08","9.994,74","3,46M","-0,63%"
"03.05.2019","10.058,08","10.085,75","10.087,91","10.020,57","49,84M","-0,27%"
"02.05.2019","10.084,99","9.966,42","10.084,99","9.957,54","47,82M","1,19%"
"01.05.2019","9.966,42","10.013,83","10.013,83","9.938,51","17,41M","-0,47%"
"30.04.2019","10.013,83","10.012,77","10.047,82","10.009,95","35,47M","0,01%"
"29.04.2019","10.012,77","9.994,57","10.056,80","9.994,57","21,44M","-0,18%"
"28.04.2019","10.030,78","9.994,57","10.035,91","9.994,57","3,21M","0,36%"
"26.04.2019","9.994,57","10.071,74","10.071,74","9.994,57","26,76M","-0,46%"
"25.04.2019","10.040,56","10.071,74","10.071,74","10.040,44","6,61M","-0,31%"
"24.04.2019","10.071,74","10.004,84","10.083,81","10.004,84","20,83M","0,67%"
"23.04.2019","10.004,84","9.959,62","10.036,00","9.959,62","15,30M","0,09%"
"22.04.2019","9.995,56","9.959,62","9.996,19","9.959,62","2,68M","0,36%"
"18.04.2019","9.959,62","9.982,24","9.982,24","9.932,86","18,28M","-0,23%"
"17.04.2019","9.982,24","9.908,39","9.982,24","9.908,39","23,20M","0,75%"
"16.04.2019","9.908,39","9.846,35","9.908,39","9.846,35","24,04M","0,63%"
"15.04.2019","9.846,35","9.768,33","9.846,35","9.768,33","22,19M","0,44%"
"14.04.2019","9.803,67","9.768,33","9.807,54","9.768,33","3,08M","0,36%"
"12.04.2019","9.768,33","9.766,60","9.773,79","9.752,96","20,77M","0,02%"
"11.04.2019","9.766,60","9.707,96","9.773,08","9.707,96","28,09M","0,60%"
"10.04.2019","9.707,96","9.787,30","9.787,30","9.705,70","31,93M","-0,81%"
"09.04.2019","9.787,30","9.807,08","9.822,77","9.770,76","30,86M","-0,20%"
"08.04.2019","9.807,08","9.857,05","9.857,05","9.807,08","25,83M","-0,22%"
"07.04.2019","9.828,78","9.857,05","9.857,05","9.817,52","2,72M","-0,29%"
"05.04.2019","9.857,05","9.892,60","9.895,30","9.808,02","27,57M","-0,36%"
"04.04.2019","9.892,60","9.939,26","9.939,26","9.869,39","31,14M","-0,47%"
"03.04.2019","9.939,26","9.963,86","9.963,86","9.878,82","36,41M","-0,19%"
"02.04.2019","9.958,35","9.853,91","9.958,35","9.853,91","28,73M","1,06%"
"01.04.2019","9.853,91","9.844,95","9.878,55","9.804,00","28,70M","0,49%"
"31.03.2019","9.805,72","9.844,95","9.851,96","9.804,00","4,49M","-0,40%"
