"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"30.12.2019","843,35","846,72","847,62","843,31","29,61M","-0,40%"
"27.12.2019","846,70","849,54","854,46","845,45","33,51M","-0,32%"
"23.12.2019","849,41","843,06","849,42","843,06","27,72M","0,77%"
"20.12.2019","842,94","838,23","844,56","838,23","53,31M","0,57%"
"19.12.2019","838,16","832,37","838,25","830,98","48,53M","0,70%"
"18.12.2019","832,36","830,36","832,84","826,96","36,85M","0,24%"
"17.12.2019","830,33","834,02","834,68","829,88","44,96M","-0,45%"
"16.12.2019","834,07","829,67","834,82","829,67","36,32M","0,53%"
"13.12.2019","829,67","824,24","832,12","824,24","47,08M","0,66%"
"12.12.2019","824,21","818,87","826,06","818,46","41,70M","0,64%"
"11.12.2019","818,93","822,35","823,00","816,27","35,36M","-0,47%"
"10.12.2019","822,81","827,70","827,70","817,84","33,97M","-0,60%"
"09.12.2019","827,75","825,78","827,85","821,61","39,20M","0,25%"
"06.12.2019","825,72","817,18","826,19","816,77","42,43M","1,00%"
"05.12.2019","817,51","819,37","822,42","817,05","32,34M","-0,22%"
"04.12.2019","819,34","805,62","819,34","805,50","51,79M","1,70%"
"03.12.2019","805,62","811,19","815,11","803,75","66,67M","-0,69%"
"02.12.2019","811,18","823,36","827,19","811,18","55,71M","-1,51%"
"29.11.2019","823,58","830,37","830,37","822,42","44,39M","-0,82%"
"28.11.2019","830,39","834,57","834,65","830,37","21,45M","-0,52%"
"27.11.2019","834,74","832,70","835,66","831,20","30,86M","0,14%"
"26.11.2019","833,57","837,60","838,69","832,15","62,05M","-0,40%"
"25.11.2019","836,93","832,12","837,56","832,12","30,33M","0,58%"
"22.11.2019","832,12","823,34","832,31","823,21","47,62M","1,16%"
"21.11.2019","822,61","822,97","823,28","818,46","39,05M","-0,04%"
"20.11.2019","822,98","826,61","826,61","815,83","77,92M","-0,44%"
"19.11.2019","826,58","826,28","830,68","824,97","92,88M","0,04%"
"18.11.2019","826,24","826,78","831,32","823,27","46,18M","-0,06%"
"15.11.2019","826,73","832,41","832,89","822,90","49,91M","-0,67%"
"14.11.2019","832,33","835,63","836,32","831,55","38,83M","-0,35%"
"13.11.2019","835,23","841,91","841,94","831,64","48,76M","-0,80%"
"12.11.2019","841,95","843,13","845,54","839,17","39,74M","-0,14%"
"11.11.2019","843,12","842,48","843,12","836,20","46,08M","0,07%"
"08.11.2019","842,51","845,14","845,44","839,27","44,25M","-0,31%"
"07.11.2019","845,13","837,55","845,15","835,54","54,66M","0,91%"
"06.11.2019","837,55","834,91","837,64","832,59","52,98M","0,29%"
"05.11.2019","835,12","834,09","837,21","832,96","64,10M","0,13%"
"04.11.2019","834,02","829,80","835,13","828,86","47,28M","0,51%"
"01.11.2019","829,75","824,28","830,90","822,86","34,59M","0,65%"
"31.10.2019","824,36","832,90","833,38","823,12","68,34M","-1,03%"
"30.10.2019","832,96","835,11","839,41","831,57","58,03M","-0,26%"
"29.10.2019","835,11","839,17","839,19","829,24","37,91M","-0,49%"
"28.10.2019","839,21","831,30","840,61","831,10","36,49M","0,95%"
"25.10.2019","831,30","835,78","836,13","827,78","45,15M","-0,53%"
"24.10.2019","835,70","822,25","836,59","822,22","55,00M","1,60%"
"23.10.2019","822,50","827,61","831,33","818,22","69,04M","-0,65%"
"22.10.2019","827,92","827,89","829,98","824,41","49,37M","0,00%"
"21.10.2019","827,89","821,36","829,66","820,48","51,46M","0,80%"
"18.10.2019","821,35","821,90","823,99","818,77","68,45M","-0,07%"
"17.10.2019","821,91","815,23","824,01","809,61","63,40M","0,81%"
"16.10.2019","815,28","807,31","816,04","802,32","45,18M","0,93%"
"15.10.2019","807,77","800,84","808,70","800,82","27,76M","0,85%"
"14.10.2019","800,99","812,76","812,79","799,44","46,63M","-1,45%"
"11.10.2019","812,78","805,81","814,32","805,81","58,66M","0,87%"
"10.10.2019","805,78","797,57","806,19","794,13","55,17M","1,03%"
"09.10.2019","797,57","798,98","801,86","793,68","49,44M","-0,18%"
"08.10.2019","799,01","810,38","812,56","797,25","35,53M","-1,40%"
"07.10.2019","810,33","796,90","810,33","796,28","41,05M","1,75%"
"04.10.2019","796,37","784,82","797,02","784,82","49,10M","1,48%"
"03.10.2019","784,75","794,88","794,88","783,17","52,28M","-1,28%"
"02.10.2019","794,90","814,09","814,09","794,29","50,21M","-2,36%"
"01.10.2019","814,12","814,05","819,08","812,93","39,42M","0,01%"
"30.09.2019","814,01","813,95","816,15","810,93","39,50M","0,01%"
"27.09.2019","813,95","810,09","817,70","810,05","37,50M","0,48%"
"26.09.2019","810,03","809,43","816,10","808,71","39,04M","0,12%"
"25.09.2019","809,09","818,62","818,62","806,46","51,08M","-1,21%"
"24.09.2019","818,96","826,86","828,99","818,12","55,30M","-0,96%"
"23.09.2019","826,86","832,53","833,57","823,68","53,01M","-0,68%"
"20.09.2019","832,56","827,05","834,06","826,90","56,28M","0,72%"
"19.09.2019","826,62","827,12","829,79","822,87","62,75M","-0,06%"
"18.09.2019","827,12","820,13","827,62","816,16","82,07M","0,93%"
"17.09.2019","819,51","828,38","830,87","817,23","72,88M","-1,06%"
"16.09.2019","828,33","816,66","829,10","816,66","72,20M","1,43%"
"13.09.2019","816,63","811,71","817,34","811,70","45,20M","0,61%"
"12.09.2019","811,71","815,01","815,89","804,10","51,11M","-0,40%"
"11.09.2019","815,01","802,31","815,01","802,28","59,63M","1,63%"
"10.09.2019","801,97","795,68","801,97","794,12","51,41M","0,79%"
"09.09.2019","795,68","797,70","802,55","795,05","40,83M","-0,19%"
"06.09.2019","797,17","806,50","806,67","794,92","58,74M","-1,16%"
"05.09.2019","806,51","787,45","807,77","787,44","71,81M","2,45%"
"04.09.2019","787,21","780,02","790,00","780,02","53,59M","0,93%"
"03.09.2019","779,92","788,40","789,07","779,37","61,10M","-1,04%"
"02.09.2019","788,08","788,79","790,91","787,51","56,26M","-0,11%"
"30.08.2019","788,95","782,64","790,67","782,64","53,47M","0,80%"
"29.08.2019","782,67","770,05","784,08","770,05","55,04M","1,64%"
"28.08.2019","770,05","771,85","774,24","767,41","50,54M","-0,23%"
"27.08.2019","771,85","764,94","771,85","764,27","48,26M","0,89%"
"26.08.2019","765,02","769,80","769,88","759,69","45,46M","-0,68%"
"23.08.2019","770,25","774,90","779,72","763,34","47,96M","-0,59%"
"22.08.2019","774,86","774,49","777,74","769,99","48,30M","0,04%"
"21.08.2019","774,52","770,48","778,60","766,08","45,14M","0,52%"
"20.08.2019","770,48","771,76","776,21","768,46","48,78M","-0,18%"
"19.08.2019","771,84","761,95","772,18","761,95","51,25M","1,31%"
"16.08.2019","761,87","754,40","762,28","754,25","71,32M","1,02%"
"15.08.2019","754,19","757,75","762,88","743,22","74,24M","-0,43%"
"14.08.2019","757,43","775,85","776,45","755,68","63,84M","-2,37%"
"13.08.2019","775,83","767,36","776,22","762,53","51,90M","1,06%"
"12.08.2019","767,71","770,65","775,56","766,33","35,94M","-0,38%"
"09.08.2019","770,63","775,66","779,24","770,42","35,16M","-0,65%"
"08.08.2019","775,68","764,13","776,80","764,13","50,73M","1,58%"
"07.08.2019","763,64","771,21","775,22","760,52","42,51M","-0,97%"
"06.08.2019","771,09","767,33","776,65","766,16","44,08M","0,39%"
"05.08.2019","768,11","785,70","785,70","765,78","52,56M","-2,24%"
"02.08.2019","785,75","795,15","795,15","781,49","51,59M","-1,22%"
"01.08.2019","795,47","791,79","797,14","787,06","45,14M","0,45%"
"31.07.2019","791,90","787,02","793,66","787,02","47,79M","0,86%"
"30.07.2019","785,12","797,28","798,45","784,86","49,21M","-1,53%"
"29.07.2019","797,28","800,34","801,68","796,46","43,52M","-0,38%"
