"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"31.12.2019","5.214,14","5.238,23","5.238,23","5.210,46","19,36M","-0,43%"
"30.12.2019","5.236,59","5.264,97","5.272,71","5.236,59","39,81M","-0,62%"
"27.12.2019","5.269,31","5.223,43","5.281,12","5.223,43","49,40M","0,73%"
"24.12.2019","5.231,29","5.220,27","5.241,70","5.211,05","8,62M","-0,17%"
"23.12.2019","5.240,08","5.241,67","5.248,63","5.218,92","37,92M","-0,00%"
"20.12.2019","5.240,09","5.230,04","5.243,06","5.211,25","82,70M","0,41%"
"19.12.2019","5.218,51","5.201,78","5.218,51","5.188,63","56,46M","0,33%"
"18.12.2019","5.201,24","5.229,00","5.234,37","5.196,92","56,26M","-0,34%"
"17.12.2019","5.218,84","5.209,78","5.233,55","5.209,78","42,08M","-0,04%"
"16.12.2019","5.221,09","5.213,01","5.235,49","5.213,01","45,44M","0,34%"
"13.12.2019","5.203,38","5.234,78","5.246,35","5.192,27","133,15M","0,15%"
"12.12.2019","5.195,54","5.151,68","5.210,95","5.146,61","57,46M","0,90%"
"11.12.2019","5.148,97","5.147,00","5.163,51","5.129,14","38,38M","0,01%"
"10.12.2019","5.148,63","5.148,38","5.159,66","5.124,34","33,67M","-0,25%"
"09.12.2019","5.161,51","5.170,49","5.178,37","5.152,05","38,87M","-0,22%"
"06.12.2019","5.172,86","5.135,83","5.176,35","5.124,46","37,78M","0,86%"
"05.12.2019","5.128,87","5.123,40","5.155,08","5.116,99","41,80M","0,09%"
"04.12.2019","5.124,40","5.066,38","5.128,60","5.051,96","46,37M","1,72%"
"03.12.2019","5.037,61","5.099,12","5.099,76","5.037,61","65,13M","-0,99%"
"02.12.2019","5.088,04","5.149,89","5.161,43","5.088,04","57,85M","-0,77%"
"29.11.2019","5.127,43","5.148,76","5.153,20","5.127,10","46,49M","-0,46%"
"28.11.2019","5.151,35","5.137,40","5.161,80","5.117,09","54,92M","-0,72%"
"27.11.2019","5.188,90","5.171,42","5.206,52","5.156,18","46,35M","0,27%"
"26.11.2019","5.174,80","5.163,87","5.178,70","5.142,28","53,96M","-0,13%"
"25.11.2019","5.181,71","5.192,07","5.201,77","5.179,39","42,82M","0,02%"
"22.11.2019","5.180,55","5.189,76","5.212,47","5.176,32","48,16M","0,15%"
"21.11.2019","5.172,77","5.205,00","5.205,00","5.172,11","56,04M","-0,90%"
"20.11.2019","5.219,58","5.237,28","5.240,43","5.204,19","41,47M","-0,77%"
"19.11.2019","5.260,09","5.268,93","5.280,58","5.246,46","45,47M","-0,07%"
"18.11.2019","5.263,61","5.276,80","5.286,25","5.253,26","48,24M","-0,08%"
"15.11.2019","5.267,66","5.290,92","5.290,92","5.255,44","51,02M","-0,13%"
"14.11.2019","5.274,43","5.286,24","5.288,14","5.258,81","64,92M","-0,36%"
"13.11.2019","5.293,74","5.304,60","5.304,66","5.270,85","63,66M","-0,19%"
"12.11.2019","5.303,82","5.290,91","5.328,81","5.290,23","69,28M","0,18%"
"11.11.2019","5.294,47","5.303,82","5.304,50","5.268,61","71,60M","-0,19%"
"08.11.2019","5.304,81","5.308,45","5.315,64","5.281,42","110,15M","0,16%"
"07.11.2019","5.296,56","5.237,77","5.305,88","5.236,45","85,82M","1,33%"
"06.11.2019","5.227,07","5.225,48","5.243,31","5.201,10","74,00M","-0,14%"
"05.11.2019","5.234,42","5.206,30","5.236,73","5.203,91","68,10M","0,60%"
"04.11.2019","5.203,39","5.127,62","5.203,39","5.123,31","72,28M","1,71%"
"01.11.2019","5.115,90","5.123,63","5.126,22","5.098,38","37,17M","-0,07%"
"31.10.2019","5.119,62","5.110,09","5.135,43","5.087,55","51,04M","0,17%"
