"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"30.12.2019","1.771,85","1.797,66","1.798,29","1.769,19","59,36M","-1,46%"
"27.12.2019","1.798,04","1.796,20","1.802,23","1.792,17","44,42M","0,13%"
"23.12.2019","1.795,66","1.794,93","1.800,69","1.791,09","46,17M","0,05%"
"20.12.2019","1.794,80","1.783,20","1.795,43","1.783,08","107,91M","0,65%"
"19.12.2019","1.783,29","1.787,86","1.793,19","1.779,69","93,18M","-0,26%"
"18.12.2019","1.787,96","1.790,13","1.796,08","1.782,82","95,77M","-0,22%"
"17.12.2019","1.791,93","1.787,37","1.791,93","1.781,84","92,10M","0,24%"
"16.12.2019","1.787,66","1.770,89","1.787,89","1.767,93","80,36M","0,99%"
"13.12.2019","1.770,12","1.761,66","1.780,69","1.761,66","102,25M","0,68%"
"12.12.2019","1.758,24","1.741,71","1.760,87","1.732,22","91,35M","0,95%"
"11.12.2019","1.741,62","1.735,09","1.744,25","1.723,75","79,40M","0,35%"
"10.12.2019","1.735,51","1.742,77","1.742,77","1.714,48","79,62M","-0,45%"
"09.12.2019","1.743,31","1.742,17","1.750,58","1.738,83","76,40M","0,04%"
"06.12.2019","1.742,61","1.723,70","1.743,03","1.723,70","68,06M","1,10%"
"05.12.2019","1.723,63","1.726,31","1.735,86","1.720,15","65,50M","-0,11%"
"04.12.2019","1.725,60","1.697,90","1.726,86","1.697,73","72,81M","1,64%"
"03.12.2019","1.697,68","1.707,13","1.721,44","1.692,86","84,02M","-0,54%"
"02.12.2019","1.706,82","1.730,94","1.744,74","1.704,37","79,64M","-1,35%"
"29.11.2019","1.730,25","1.733,25","1.737,09","1.720,85","69,60M","-0,29%"
"28.11.2019","1.735,30","1.737,01","1.737,60","1.729,38","41,32M","-0,14%"
"27.11.2019","1.737,80","1.742,75","1.748,94","1.734,98","79,21M","-0,18%"
"26.11.2019","1.740,99","1.742,52","1.744,81","1.730,89","89,61M","-0,06%"
"25.11.2019","1.742,04","1.726,07","1.742,06","1.726,07","56,86M","1,04%"
"22.11.2019","1.724,19","1.720,35","1.731,98","1.717,98","61,89M","0,24%"
"21.11.2019","1.720,11","1.726,43","1.726,43","1.711,27","74,08M","-0,52%"
"20.11.2019","1.729,06","1.741,91","1.741,91","1.727,77","79,89M","-0,81%"
"19.11.2019","1.743,25","1.745,37","1.758,30","1.739,43","70,15M","-0,11%"
"18.11.2019","1.745,17","1.757,54","1.763,15","1.741,40","73,96M","-0,67%"
"15.11.2019","1.756,86","1.759,33","1.773,51","1.742,54","109,14M","-0,03%"
"14.11.2019","1.757,42","1.766,38","1.767,85","1.755,39","64,89M","-0,52%"
"13.11.2019","1.766,60","1.773,78","1.773,78","1.753,08","78,21M","-0,46%"
"12.11.2019","1.774,72","1.763,67","1.776,84","1.758,62","69,50M","0,64%"
"11.11.2019","1.763,50","1.769,68","1.770,96","1.757,11","64,71M","-0,51%"
