"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"30.12.2019","10.616,94","10.734,47","10.736,35","10.613,12","32,98M","-1,06%"
"27.12.2019","10.730,15","10.738,65","10.755,68","10.708,40","29,99M","0,05%"
"23.12.2019","10.724,34","10.679,91","10.734,09","10.678,27","36,61M","0,42%"
"20.12.2019","10.679,37","10.628,83","10.679,37","10.610,82","106,98M","0,99%"
"19.12.2019","10.575,15","10.556,80","10.577,41","10.522,40","53,84M","0,17%"
"18.12.2019","10.556,74","10.541,26","10.638,20","10.539,00","62,18M","0,17%"
"17.12.2019","10.538,89","10.515,25","10.544,45","10.498,97","74,98M","-0,03%"
"16.12.2019","10.541,67","10.478,43","10.562,81","10.458,57","58,96M","1,08%"
"13.12.2019","10.429,27","10.465,01","10.507,95","10.424,58","84,75M","-0,21%"
"12.12.2019","10.451,36","10.403,35","10.492,35","10.375,56","68,55M","0,44%"
"11.12.2019","10.405,31","10.374,60","10.416,41","10.341,19","46,31M","0,14%"
"10.12.2019","10.390,53","10.416,57","10.418,60","10.295,58","55,28M","-0,43%"
"09.12.2019","10.434,89","10.449,84","10.488,64","10.433,63","38,60M","-0,28%"
"06.12.2019","10.463,88","10.378,86","10.472,06","10.376,21","42,99M","0,97%"
"05.12.2019","10.363,50","10.362,78","10.438,69","10.353,97","43,48M","0,28%"
"04.12.2019","10.334,56","10.245,47","10.344,27","10.237,62","54,67M","0,99%"
"03.12.2019","10.232,93","10.371,94","10.380,68","10.221,51","75,71M","-1,12%"
"02.12.2019","10.348,44","10.498,60","10.551,51","10.336,32","60,82M","-1,38%"
"29.11.2019","10.493,24","10.491,64","10.527,81","10.481,59","40,06M","-0,34%"
"28.11.2019","10.529,14","10.512,10","10.538,99","10.503,73","27,27M","-0,00%"
"27.11.2019","10.529,26","10.531,68","10.544,04","10.501,17","47,10M","0,21%"
"26.11.2019","10.506,93","10.479,74","10.537,76","10.471,08","74,43M","0,37%"
"25.11.2019","10.468,62","10.424,95","10.472,94","10.416,70","53,87M","0,96%"
"22.11.2019","10.369,44","10.367,49","10.419,76","10.351,05","65,83M","0,30%"
"21.11.2019","10.338,35","10.322,39","10.360,21","10.285,94","53,78M","-0,46%"
"20.11.2019","10.385,74","10.347,99","10.385,95","10.319,17","54,01M","0,19%"
"19.11.2019","10.366,02","10.370,66","10.428,57","10.348,00","55,25M","0,18%"
"18.11.2019","10.347,18","10.316,93","10.381,03","10.311,63","48,64M","0,36%"
"15.11.2019","10.310,12","10.314,67","10.335,96","10.269,63","53,45M","0,75%"
"14.11.2019","10.233,23","10.299,04","10.311,92","10.229,25","48,45M","-0,64%"
"13.11.2019","10.299,22","10.278,44","10.314,11","10.231,78","52,78M","-0,14%"
"12.11.2019","10.314,16","10.306,10","10.326,38","10.282,44","52,83M","0,09%"
"11.11.2019","10.305,27","10.310,97","10.335,78","10.275,96","42,38M","-0,04%"
"08.11.2019","10.309,23","10.308,00","10.329,11","10.276,72","56,25M","-0,17%"
"07.11.2019","10.326,78","10.347,04","10.356,04","10.290,85","61,93M","0,08%"
"06.11.2019","10.318,10","10.259,28","10.327,76","10.252,82","67,01M","0,44%"
"05.11.2019","10.272,98","10.323,21","10.327,63","10.266,79","68,42M","-0,62%"
"04.11.2019","10.337,07","10.272,94","10.353,53","10.259,86","70,20M","0,83%"
"01.11.2019","10.252,24","10.235,56","10.279,53","10.223,80","53,75M","0,32%"
"31.10.2019","10.219,82","10.263,46","10.287,83","10.206,27","71,39M","-0,34%"
"30.10.2019","10.254,95","10.253,62","10.269,95","10.215,42","67,40M","-0,03%"
"29.10.2019","10.257,69","10.209,75","10.260,69","10.199,68","60,35M","0,25%"
"28.10.2019","10.231,80","10.190,17","10.254,64","10.185,07","62,73M","0,34%"
"25.10.2019","10.197,09","10.117,58","10.197,09","10.107,63","58,00M","0,90%"
"24.10.2019","10.106,53","10.051,28","10.115,52","10.050,04","69,04M","0,83%"
"23.10.2019","10.023,52","9.989,96","10.053,78","9.988,28","73,89M","0,06%"
"22.10.2019","10.017,35","9.982,81","10.027,19","9.934,54","67,34M","0,26%"
"21.10.2019","9.991,42","9.969,37","10.026,01","9.955,10","65,93M","0,26%"
"18.10.2019","9.965,49","9.991,33","10.015,51","9.958,32","55,18M","-0,43%"
"17.10.2019","10.008,94","10.023,99","10.096,48","10.002,65","57,86M","-0,23%"
"16.10.2019","10.032,49","10.071,49","10.082,16","10.000,93","55,18M","-0,16%"
"15.10.2019","10.048,75","10.014,86","10.076,35","9.970,10","52,68M","0,85%"
"14.10.2019","9.964,24","9.947,30","9.976,56","9.893,63","46,70M","-0,53%"
"11.10.2019","10.017,39","9.913,37","10.027,87","9.906,83","67,32M","1,15%"
"10.10.2019","9.903,02","9.832,06","9.914,56","9.796,69","59,30M","0,74%"
"09.10.2019","9.830,05","9.792,70","9.880,68","9.777,92","52,56M","0,30%"
"08.10.2019","9.800,24","9.904,13","9.922,37","9.779,45","65,56M","-1,15%"
"07.10.2019","9.914,06","9.849,08","9.931,13","9.829,20","49,92M","0,88%"
"04.10.2019","9.827,72","9.793,38","9.842,20","9.749,48","57,99M","0,69%"
"03.10.2019","9.760,44","9.762,49","9.796,50","9.682,36","74,67M","0,03%"
"02.10.2019","9.757,28","9.930,30","9.931,60","9.753,09","90,68M","-1,96%"
"01.10.2019","9.952,50","10.101,53","10.124,22","9.928,66","70,98M","-1,25%"
"30.09.2019","10.078,32","10.028,45","10.087,85","10.012,90","54,90M","0,40%"
"27.09.2019","10.037,81","10.055,55","10.071,46","10.020,44","51,01M","0,27%"
"26.09.2019","10.010,71","9.907,21","10.032,69","9.906,34","60,58M","0,97%"
"25.09.2019","9.914,82","9.926,20","9.934,98","9.837,20","80,01M","-0,77%"
"24.09.2019","9.991,31","10.019,02","10.044,86","9.977,78","59,51M","-0,06%"
"23.09.2019","9.997,39","10.046,40","10.046,84","9.957,82","59,76M","-0,59%"
"20.09.2019","10.056,83","10.114,18","10.114,18","10.056,10","132,78M","-0,08%"
"19.09.2019","10.064,46","10.022,33","10.070,64","9.993,93","65,29M","0,46%"
"18.09.2019","10.018,84","9.982,47","10.037,97","9.982,24","51,72M","0,05%"
"17.09.2019","10.013,82","9.960,90","10.025,02","9.944,60","61,01M","0,45%"
"16.09.2019","9.969,19","9.965,14","10.012,66","9.964,11","61,28M","-0,78%"
"13.09.2019","10.047,34","10.130,45","10.131,13","10.033,33","72,24M","-0,46%"
"12.09.2019","10.094,09","10.105,17","10.140,93","10.057,12","81,37M","-0,04%"
"11.09.2019","10.098,59","10.064,34","10.098,93","10.041,99","79,40M","0,78%"
"10.09.2019","10.020,48","10.024,85","10.031,50","9.956,11","125,28M","-0,39%"
"09.09.2019","10.059,37","10.093,64","10.109,29","10.050,68","64,36M","-0,14%"
"06.09.2019","10.073,82","9.993,98","10.076,47","9.983,46","59,43M","0,91%"
"05.09.2019","9.983,07","9.942,91","10.016,27","9.897,96","72,39M","0,89%"
"04.09.2019","9.894,60","9.934,87","9.980,14","9.893,98","52,32M","0,43%"
"03.09.2019","9.852,70","9.886,22","9.900,88","9.829,28","49,67M","-0,72%"
"02.09.2019","9.924,54","9.903,94","9.957,15","9.894,94","37,36M","0,29%"
"30.08.2019","9.895,65","9.868,77","9.941,33","9.861,38","67,19M","0,58%"
"29.08.2019","9.838,48","9.736,22","9.848,71","9.728,79","51,93M","0,82%"
"28.08.2019","9.758,19","9.761,21","9.772,71","9.670,27","46,50M","-0,28%"
"27.08.2019","9.786,08","9.707,10","9.798,18","9.685,69","53,52M","0,72%"
"26.08.2019","9.715,83","9.724,00","9.768,35","9.658,00","43,44M","-0,30%"
"23.08.2019","9.744,98","9.842,48","9.882,25","9.735,29","51,07M","-0,62%"
"22.08.2019","9.805,50","9.827,61","9.869,79","9.774,33","49,06M","-0,43%"
"21.08.2019","9.848,11","9.782,42","9.883,08","9.782,33","47,89M","0,80%"
"20.08.2019","9.770,39","9.817,35","9.861,87","9.768,35","54,90M","-0,56%"
"19.08.2019","9.825,59","9.783,33","9.856,33","9.771,64","58,72M","1,00%"
"16.08.2019","9.728,39","9.637,25","9.744,46","9.630,97","68,60M","1,27%"
"15.08.2019","9.606,26","9.654,23","9.667,39","9.515,40","84,93M","-0,23%"
"14.08.2019","9.628,48","9.801,97","9.806,50","9.599,62","99,18M","-1,61%"
"13.08.2019","9.786,24","9.729,51","9.827,73","9.641,25","92,34M","0,27%"
"12.08.2019","9.760,02","9.801,70","9.862,97","9.747,79","75,38M","0,10%"
"09.08.2019","9.749,92","9.745,03","9.804,70","9.728,79","63,21M","-0,02%"
"08.08.2019","9.751,55","9.656,03","9.757,42","9.626,98","67,01M","2,28%"
"07.08.2019","9.533,98","9.549,93","9.651,69","9.464,41","91,39M","-0,21%"
"06.08.2019","9.553,88","9.565,61","9.650,66","9.549,08","74,91M","-0,47%"
"05.08.2019","9.599,43","9.714,79","9.739,47","9.563,48","78,25M","-2,08%"
"02.08.2019","9.803,69","9.767,79","9.873,40","9.743,83","115,26M","-1,17%"
"31.07.2019","9.919,27","9.885,75","9.958,01","9.863,96","81,02M","0,29%"
"30.07.2019","9.890,90","9.963,11","9.972,12","9.842,59","74,81M","-0,80%"
"29.07.2019","9.970,87","9.936,03","10.000,55","9.916,36","50,42M","0,03%"
"26.07.2019","9.968,08","9.886,67","10.001,66","9.881,01","69,66M","0,92%"
"25.07.2019","9.877,03","9.944,81","10.015,32","9.847,32","89,75M","-0,31%"
"24.07.2019","9.907,68","9.973,87","9.976,11","9.875,36","85,62M","-0,58%"
"23.07.2019","9.965,15","9.965,82","9.998,82","9.930,45","67,59M","0,43%"
"22.07.2019","9.922,37","9.926,18","9.952,16","9.899,38","45,15M","-0,15%"
"19.07.2019","9.937,03","10.042,05","10.048,39","9.920,06","55,91M","-0,73%"
"18.07.2019","10.010,15","9.912,11","10.041,86","9.898,00","66,18M","0,69%"
"17.07.2019","9.942,01","9.862,03","9.995,36","9.862,02","61,60M","0,93%"
"16.07.2019","9.850,52","9.805,83","9.869,24","9.804,09","62,13M","0,43%"
"15.07.2019","9.808,58","9.769,23","9.828,28","9.733,49","51,70M","0,47%"
"12.07.2019","9.762,98","9.870,51","9.886,38","9.762,11","94,55M","-1,18%"
"11.07.2019","9.879,53","9.942,83","9.956,88","9.866,55","59,86M","-0,58%"
"10.07.2019","9.937,56","9.927,49","10.003,64","9.905,51","89,05M","-0,24%"
"09.07.2019","9.961,34","9.974,05","9.983,24","9.908,97","60,66M","-0,33%"
"08.07.2019","9.994,10","9.948,76","9.996,88","9.944,99","52,18M","0,14%"
"05.07.2019","9.980,22","10.071,70","10.071,70","9.968,21","65,81M","-0,86%"
