"Data","Ostatnio","Otwarcie","Max.","Min.","Zmiana%"
"31.12.2019","1,5560","1,5870","1,5870","1,5560","0,97%"
"30.12.2019","1,5410","1,5640","1,6580","1,5410","-1,14%"
"29.12.2019","1,5587","1,5587","1,5587","1,5587","-0,34%"
"27.12.2019","1,5640","1,5790","1,6760","1,5590","-0,82%"
"26.12.2019","1,5770","1,5740","1,5920","1,5740","-0,32%"
"25.12.2019","1,5820","1,5846","1,5846","1,5820","0,19%"
"24.12.2019","1,5790","1,5920","1,5970","1,5770","0,32%"
"23.12.2019","1,5740","1,6710","1,6710","1,5660","-0,49%"
"22.12.2019","1,5818","1,5818","1,5818","1,5818","0,18%"
"20.12.2019","1,5790","1,6660","1,6660","1,5690","0,32%"
"19.12.2019","1,5740","1,5640","1,6610","1,5610","0,96%"
"18.12.2019","1,5590","1,5740","1,5740","1,5560","-0,83%"
"17.12.2019","1,5720","1,5720","1,5870","1,5720","0,38%"
"16.12.2019","1,5660","1,5610","1,6610","1,5610","0,14%"
"15.12.2019","1,5638","1,5638","1,5638","1,5638","-0,01%"
"13.12.2019","1,5640","1,5820","1,5840","1,5510","-0,51%"
"12.12.2019","1,5720","1,6610","1,6610","1,5560","0,00%"
"11.12.2019","1,5720","1,5720","1,5720","1,5720","0,32%"
"10.12.2019","1,5670","1,5670","1,5690","1,5590","0,71%"
"09.12.2019","1,5560","1,5660","1,5660","1,5230","2,17%"
"08.12.2019","1,5229","1,5229","1,5229","1,5229","-0,01%"
"06.12.2019","1,5230","1,5840","1,5840","1,5200","-1,49%"
"05.12.2019","1,5460","1,5950","1,5950","1,5430","-0,83%"
"04.12.2019","1,5590","1,5820","1,7560","1,5560","-1,27%"
"03.12.2019","1,5790","1,5770","1,5970","1,5770","0,00%"
"02.12.2019","1,5790","1,5900","1,6280","1,5700","-0,22%"
"01.12.2019","1,5825","1,5825","1,5825","1,5825","-0,28%"
"29.11.2019","1,5870","1,6440","1,6440","1,5820","-1,32%"
"28.11.2019","1,6083","1,6083","1,6083","1,6083","0,02%"
"27.11.2019","1,6080","1,6080","1,6240","1,6010","0,19%"
"26.11.2019","1,6050","1,5930","1,6030","1,5930","1,01%"
"25.11.2019","1,5890","1,6330","1,6330","1,5870","-0,03%"
"24.11.2019","1,5894","1,5894","1,5894","1,5894","0,03%"
"22.11.2019","1,5890","1,5820","1,5890","1,5660","0,76%"
"21.11.2019","1,5770","1,5690","1,6130","1,5640","0,32%"
"20.11.2019","1,5720","1,5720","1,5720","1,5670","0,32%"
"19.11.2019","1,5670","1,5770","1,5770","1,5670","-0,44%"
"18.11.2019","1,5740","1,6150","1,6150","1,5590","0,32%"
"17.11.2019","1,5690","1,5690","1,5690","1,5690","0,00%"
"15.11.2019","1,5690","1,5740","1,6690","1,5640","-0,32%"
"14.11.2019","1,5740","1,5770","1,6740","1,5690","0,13%"
"13.11.2019","1,5720","1,5870","1,5870","1,5720","-0,13%"
"12.11.2019","1,5740","1,5480","1,6230","1,5480","1,15%"
"11.11.2019","1,5561","1,5561","1,5561","1,5561","0,14%"
"08.11.2019","1,5540","1,5720","1,5890","1,5480","-0,32%"
"07.11.2019","1,5590","1,5720","1,5720","1,5430","0,19%"
"06.11.2019","1,5560","1,5560","1,5560","1,5560","-0,19%"
"05.11.2019","1,5590","1,5510","1,5590","1,5510","0,71%"
"04.11.2019","1,5480","1,5930","1,5930","1,5210","1,42%"
"03.11.2019","1,5264","1,5264","1,5264","1,5264","-0,43%"
